Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Anaheim Angels,5.16,17.3,1.4,6554,2.2,110.8,-108.7,0.98,1.3,0.9,3.8%,118.6%,-114.8%,1.72,1.2%,41.1,3.7,0.95,7.2,1.24,77
Baltimore Orioles,5.2,33.5,2.9,6674,-4.1,109.8,-114.0,0.99,4.3,-8.5,-1.4%,30.3%,-31.7%,0.47,-4.5%,35.5,3.0,0.96,26.0,1.32,77
Boston Red Sox,5.86,92.0,8.3,6713,8.6,118.4,-109.8,0.96,12.2,-3.3,8.5%,97.5%,-89.0%,1.3,-0.6%,127.1,11.2,0.97,119.7,1.47,99
Chicago White Sox,5.34,5.5,0.3,6414,6.1,109.7,-103.6,0.95,6.0,0.5,1.1%,67.7%,-66.6%,1.0,-1.3%,64.3,5.7,0.92,38.3,1.45,120
Cleveland Indians,5.3,113.6,10.4,6729,4.1,121.2,-117.1,1.03,6.7,-2.6,1.2%,52.6%,-51.4%,0.76,-1.6%,65.7,6.1,0.96,73.6,1.79,72
Detroit Tigers,5.1,69.9,6.4,6503,-2.2,105.5,-107.7,0.96,4.0,-6.3,-1.3%,35.9%,-37.2%,0.56,-4.7%,40.7,3.7,0.94,41.1,1.28,86
Kansas City Royals,4.44,-122.3,-11.5,6369,-10.4,97.5,-108.0,0.95,-8.9,-2.1,-0.2%,15.0%,-15.2%,0.22,2.8%,-84.4,-8.0,0.94,-117.2,1.73,46
Minnesota Twins,4.81,-41.0,-3.9,6541,-3.1,113.2,-116.3,1.03,-1.8,-1.2,-2.8%,79.9%,-82.7%,1.22,-0.7%,-41.8,-4.0,0.93,-51.4,1.8,105
New York Yankees,5.54,103.9,9.5,6558,13.4,118.5,-105.1,0.96,11.8,2.1,6.0%,49.2%,-43.2%,0.66,1.7%,107.7,9.9,0.96,122.7,1.43,78
Oakland Athletics,4.9,23.4,2.0,6595,0.6,120.9,-120.3,1.06,2.2,-1.6,-2.0%,126.2%,-128.2%,1.89,-2.5%,-16.4,-1.7,0.96,3.0,1.41,110
Seattle Mariners,4.31,-66.1,-6.3,6595,-15.4,114.7,-130.1,1.13,-9.2,-4.4,-3.4%,15.6%,-18.9%,0.27,-8.2%,-111.4,-10.7,0.96,-112.0,1.71,96
Tampa Bay Devil Rays,4.43,-69.5,-6.6,6374,-6.4,101.7,-108.2,0.99,-7.6,1.1,-2.9%,19.6%,-22.5%,0.34,-4.0%,-68.4,-6.7,0.94,-89.8,1.4,86
Texas Rangers,5.31,-46.7,-4.5,6454,2.9,108.8,-105.9,0.95,2.6,0.5,0.7%,90.1%,-89.4%,1.33,-1.0%,36.4,3.1,0.92,18.7,1.24,72
Toronto Blue Jays,4.47,-114.4,-10.8,6343,-11.5,101.4,-113.0,0.99,-8.5,-3.1,-2.3%,18.5%,-20.8%,0.31,-3.3%,-92.8,-8.6,0.95,-104.7,1.58,85
League Average,5.01,-0.0,-0.0,6530,-1.0,111.0,-112.0,1.0,1.0,-2.0,0%,58%,-58%,0.86,-0%,7.0,0.0,0.0,-2.0,0.0,86
,5.01,-1.1,-2.4,91416,-15.2,1552.3,-1567.6,1.0,15.2,-30.4,5.0%,816.6%,-811.6%,0.86,-3.9%,103.3,6.8,0.95,-24.9,1.49,1209
