Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.44,-28.2,-3.2,6556,-2.0,110.0,-112.1,1.01,2.8,-4.8,-1.1%,40.4%,-41.5%,0.62,-2.8%,24.2,2.0,0.96,40.0,1.19,238
Atlanta Braves,3.54,-90.2,-9.3,6222,-6.9,99.0,-105.9,1.01,-8.6,1.8,-2.6%,40.9%,-43.5%,0.69,0.0%,-84.4,-8.9,0.96,-87.5,1.18,230
Chicago Cubs,4.25,-9.7,-1.3,6424,5.0,113.2,-108.2,1.01,4.2,0.8,1.6%,62.4%,-60.9%,0.95,-0.7%,28.3,2.4,0.97,52.4,1.22,259
Cincinnati Reds,3.95,-61.3,-6.5,6475,-11.1,102.4,-113.6,1.03,-3.9,-6.8,-2.4%,25.3%,-27.7%,0.43,-4.3%,-41.9,-4.5,0.96,-26.8,1.3,246
Colorado Rockies,4.55,-102.0,-10.5,6301,2.3,105.6,-103.3,0.95,1.5,1.0,0.0%,22.9%,-22.9%,0.35,-0.5%,18.5,1.5,0.92,15.8,1.05,244
Los Angeles Dodgers,4.12,49.8,4.8,6249,2.9,107.1,-104.2,0.99,4.8,-1.8,2.2%,80.9%,-78.8%,1.24,-0.8%,17.3,1.5,0.95,54.3,1.18,246
Miami Marlins,3.78,-58.9,-6.1,6227,-3.7,99.3,-103.0,0.99,-4.8,1.0,-1.6%,19.2%,-20.9%,0.33,-1.7%,-39.1,-4.3,0.95,-42.1,1.08,223
Milwaukee Brewers,4.04,-77.3,-8.0,6223,-6.8,94.8,-101.6,0.93,-5.0,-2.4,-1.7%,8.0%,-9.6%,0.14,-9.1%,-17.9,-2.1,0.94,-44.4,1.09,263
New York Mets,4.22,-25.5,-2.8,6303,0.2,107.0,-106.8,1.0,1.3,-1.1,-0.2%,77.4%,-77.7%,1.21,-0.9%,22.4,2.1,0.95,19.7,1.14,213
Philadelphia Phillies,3.86,-88.6,-9.1,6267,-6.3,102.7,-109.0,1.02,-4.7,-1.5,-2.1%,13.8%,-15.9%,0.24,-4.8%,-39.5,-4.2,0.94,-53.8,1.31,231
Pittsburgh Pirates,4.3,-18.5,-2.1,6524,1.7,111.7,-110.0,1.03,0.5,1.2,0.5%,66.4%,-65.8%,1.03,0.2%,19.1,1.7,0.96,15.4,1.37,232
San Diego Padres,4.01,-70.7,-7.3,6226,-3.7,101.2,-104.9,0.98,-0.8,-3.0,-1.6%,36.9%,-38.5%,0.6,-2.2%,-11.0,-1.3,0.93,-17.9,1.21,272
San Francisco Giants,4.3,4.4,0.3,6379,-0.5,106.7,-107.3,1.0,2.4,-2.9,-3.1%,72.9%,-76.0%,1.17,-4.2%,27.7,2.6,0.96,22.0,1.24,198
St. Louis Cardinals,3.99,-39.8,-4.2,6340,-1.4,111.5,-112.9,1.06,-1.7,0.3,1.2%,63.3%,-62.0%,0.98,1.7%,-25.0,-2.8,0.96,-14.0,1.18,239
Washington Nationals,4.34,-30.7,-3.5,6281,0.4,105.3,-104.9,1.0,3.6,-3.2,-0.6%,67.7%,-68.3%,1.08,-3.3%,34.2,3.1,0.95,47.5,1.11,191
League Average,4.11,-43.0,-5.0,6333,-2.0,105.0,-107.0,1.0,-1.0,-1.0,-1%,47%,-47%,0.74,-1%,-4.0,-1.0,0.0,-1.0,0.0,235
,4.11,-646.9,-68.7,94997,-30.0,1577.5,-1607.6,1.0,-8.5,-21.4,-11.4%,698.5%,-710.0%,0.74,-11.6%,-67.3,-11.3,0.95,-19.2,1.19,3525
