Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,5.01,-57.9,-5.8,6449,0.1,109.5,-109.3,0.98,2.6,-2.4,-0.6%,56.8%,-57.4%,0.85,-2.2%,48.4,4.2,0.94,31.6,1.3,205
Atlanta Braves,4.52,-67.2,-6.7,6404,-1.9,107.5,-109.4,0.99,-2.3,0.4,0.1%,31.1%,-31.0%,0.47,1.3%,-11.8,-1.3,0.94,-26.1,1.23,242
Chicago Cubs,5.07,-10.3,-1.2,6477,1.8,109.7,-107.9,0.98,6.3,-4.4,2.5%,92.1%,-89.6%,1.36,-2.0%,69.7,6.3,0.96,91.7,1.23,248
Cincinnati Reds,4.65,-30.8,-3.3,6455,-6.0,98.0,-104.0,0.93,0.8,-7.2,-1.2%,28.8%,-30.1%,0.45,-2.9%,4.2,0.0,0.95,26.0,0.92,219
Colorado Rockies,5.09,-93.8,-9.2,6414,-2.5,97.0,-99.4,0.88,1.0,-3.8,-0.9%,63.4%,-64.3%,0.95,-1.4%,30.2,2.4,0.94,7.4,0.92,229
Los Angeles Dodgers,4.75,40.5,3.7,6400,6.8,110.4,-103.7,0.97,6.4,0.6,3.7%,43.9%,-40.2%,0.63,0.5%,47.6,4.4,0.95,68.0,1.22,301
Miami Marlins,4.8,66.2,6.0,6449,4.4,105.3,-100.9,0.93,6.6,-1.8,0.1%,27.3%,-27.2%,0.41,-1.8%,65.4,6.2,0.95,55.4,1.14,248
Milwaukee Brewers,4.52,-55.9,-5.5,6400,-0.6,107.7,-108.2,0.97,1.3,-1.9,-3.2%,93.2%,-96.4%,1.43,-3.0%,-15.9,-1.7,0.93,3.4,1.19,255
New York Mets,4.54,7.7,0.6,6337,-2.1,100.3,-102.4,0.92,4.7,-7.0,-0.7%,26.5%,-27.2%,0.41,-3.8%,13.9,1.1,0.93,49.9,1.01,215
Philadelphia Phillies,4.26,-88.3,-8.6,6319,-8.5,107.5,-116.0,1.04,-4.3,-4.0,-1.3%,17.4%,-18.7%,0.28,-1.5%,-49.8,-5.0,0.94,-50.1,1.28,208
Pittsburgh Pirates,4.12,-110.4,-10.8,6324,-5.1,103.8,-108.9,1.0,-7.6,2.5,-1.7%,40.6%,-42.3%,0.65,0.8%,-70.8,-7.1,0.95,-97.6,1.21,241
San Diego Padres,3.73,-132.5,-12.9,6164,-6.9,96.9,-103.8,0.96,-9.5,2.4,-2.0%,13.5%,-15.5%,0.24,-5.2%,-129.6,-12.9,0.92,-116.7,1.15,218
San Francisco Giants,3.94,-151.6,-14.7,6344,-14.3,102.3,-116.6,1.04,-9.8,-3.9,-2.9%,13.3%,-16.2%,0.24,-7.5%,-116.1,-11.4,0.94,-121.9,1.32,263
St. Louis Cardinals,4.7,-0.1,-0.2,6432,-2.4,106.2,-108.6,0.97,2.9,-5.4,-2.0%,65.7%,-67.7%,1.01,-4.1%,19.0,1.6,0.95,30.3,1.04,247
Washington Nationals,5.06,-12.4,-1.5,6414,3.4,106.7,-103.4,0.94,4.9,-1.3,4.6%,47.4%,-42.8%,0.66,4.3%,74.2,6.6,0.94,57.1,1.13,216
League Average,4.58,-46.0,-5.0,6385,-2.0,105.0,-107.0,0.97,0.0,-3.0,-0%,44%,-44%,0.67,-1%,-1.0,-0.0,0.0,1.0,0.0,237
,4.58,-696.8,-70.2,95782,-33.8,1568.8,-1602.6,0.97,3.9,-38.8,-5.4%,661.1%,-666.5%,0.67,-13.7%,-21.4,-6.6,0.94,8.4,1.16,3555
