Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.5,11.0,0.9,6318,-2.9,102.3,-105.2,0.95,-0.4,-2.7,0.1%,57.7%,-57.6%,0.87,-0.2%,-23.1,-2.3,0.95,-13.2,1.31,71
Boston Red Sox,5.62,104.0,9.7,6544,16.6,118.8,-102.2,0.97,11.8,5.4,16.6%,113.9%,-97.3%,1.54,3.6%,154.3,14.1,0.99,124.8,1.05,94
Chicago White Sox,4.57,-49.3,-4.8,6416,0.5,112.1,-111.6,1.01,-2.3,2.9,3.6%,43.6%,-40.0%,0.63,7.2%,-36.1,-3.5,0.92,-35.9,1.71,88
Cleveland Indians,4.88,95.0,8.8,6442,1.1,110.7,-109.6,0.98,7.5,-6.4,-1.5%,103.3%,-104.7%,1.55,-5.5%,50.0,4.6,0.95,93.0,1.54,75
Detroit Tigers,4.46,-1.0,-0.2,6314,-6.3,104.0,-110.3,1.0,-2.2,-4.2,-1.3%,29.3%,-30.6%,0.47,-3.4%,-25.3,-2.6,0.94,-41.6,1.45,64
Kansas City Royals,4.33,-72.8,-7.1,6292,-7.5,101.5,-109.0,1.0,-5.5,-2.1,-1.5%,8.1%,-9.7%,0.14,-9.5%,-52.1,-5.2,0.95,-77.5,1.4,115
Los Angeles Angels of Anaheim,4.7,-33.0,-3.3,6467,1.3,111.0,-109.7,1.01,-1.6,2.9,0.9%,97.1%,-96.1%,1.47,1.9%,7.9,0.6,0.94,-28.8,1.81,77
Minnesota Twins,4.25,-99.3,-9.6,6417,-8.1,116.7,-124.7,1.12,-10.1,2.9,-5.0%,76.1%,-81.2%,1.22,1.0%,-81.5,-7.9,0.95,-115.3,1.84,81
New York Yankees,5.47,130.4,12.1,6592,15.0,115.1,-100.1,0.95,15.0,0.9,16.2%,112.9%,-96.8%,1.51,1.5%,150.9,14.0,0.99,159.7,1.56,78
Oakland Athletics,4.77,-32.0,-3.1,6397,-1.3,111.3,-112.6,1.02,0.6,-1.9,-4.7%,80.4%,-85.1%,1.26,-4.2%,15.5,1.4,0.96,1.3,1.01,70
Seattle Mariners,4.31,-56.2,-5.5,6320,-6.7,106.3,-113.0,1.04,-8.0,1.5,-1.4%,22.5%,-23.9%,0.36,-0.9%,-37.1,-3.9,0.94,-89.1,1.56,103
Tampa Bay Devil Rays,4.63,7.4,0.7,6410,0.8,108.1,-107.3,0.97,1.7,-0.9,-0.5%,11.9%,-12.4%,0.19,-2.5%,4.1,0.3,0.94,8.8,1.41,97
Texas Rangers,5.34,24.0,2.1,6472,4.4,114.7,-110.3,0.97,10.4,-5.9,1.8%,52.1%,-50.4%,0.74,-4.4%,90.2,8.2,0.92,113.3,1.57,54
Toronto Blue Jays,4.78,-44.3,-4.3,6410,-5.7,110.9,-116.7,1.04,-3.9,-1.6,-3.8%,52.7%,-56.5%,0.84,-2.1%,6.0,0.5,0.96,-41.8,1.41,121
League Average,4.76,-1.0,-0.0,6415,0.0,110.0,-110.0,1.0,1.0,-1.0,1%,62%,-60%,0.92,0%,16.0,1.0,0.0,4.0,0.0,85
,4.76,-16.0,-3.6,89811,1.3,1543.7,-1542.4,1.0,13.1,-11.9,19.5%,861.8%,-842.3%,0.92,6.8%,223.6,18.3,0.95,57.7,1.47,1188
