Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.53,-7.4,-1.0,6373,1.1,103.8,-102.7,0.94,4.2,-3.0,-1.0%,42.3%,-43.3%,0.65,-3.6%,43.3,3.9,0.96,47.0,1.03,210
Atlanta Braves,4.32,-72.4,-7.4,6343,2.3,101.8,-99.5,0.95,0.2,2.3,1.5%,70.9%,-69.4%,1.09,1.0%,10.6,0.8,0.96,1.8,1.1,222
Chicago Cubs,3.78,-137.8,-14.0,6205,-9.9,100.1,-110.1,1.02,-5.5,-4.3,-1.4%,12.2%,-13.6%,0.21,-4.1%,-71.1,-7.3,0.94,-66.7,1.19,250
Cincinnati Reds,4.13,-64.0,-6.7,6317,4.0,111.9,-108.0,1.01,-0.1,4.0,5.0%,70.0%,-64.9%,1.03,5.0%,-23.7,-2.6,0.94,-12.1,1.28,175
Colorado Rockies,4.68,-63.9,-6.5,6432,-0.7,106.8,-107.5,0.97,3.7,-4.4,0.7%,17.9%,-17.2%,0.27,1.9%,22.8,2.0,0.94,39.6,1.27,229
Houston Astros,3.6,-141.4,-14.2,6258,-13.6,96.7,-110.3,1.01,-8.6,-4.9,-1.6%,19.4%,-21.0%,0.32,-2.7%,-104.3,-10.5,0.94,-82.5,1.2,231
Los Angeles Dodgers,3.93,-64.5,-6.6,6328,-3.2,110.4,-113.6,1.08,-4.3,1.4,-4.8%,93.9%,-98.7%,1.55,-0.3%,-32.0,-3.5,0.96,-44.7,1.55,200
Miami Marlins,3.76,-120.1,-12.3,6322,-7.8,102.8,-110.6,1.03,-6.0,-1.6,-2.1%,33.1%,-35.1%,0.55,-0.5%,-84.6,-8.6,0.95,-78.2,1.22,199
Milwaukee Brewers,4.79,-1.5,-0.4,6502,6.6,115.2,-108.6,1.0,5.9,0.7,-0.2%,31.6%,-31.8%,0.48,-2.9%,71.5,6.6,0.95,75.6,1.22,282
New York Mets,4.01,-38.1,-4.0,6284,-1.0,103.5,-104.5,1.0,-3.5,2.5,3.5%,48.0%,-44.6%,0.73,5.5%,-19.3,-2.2,0.95,-31.0,1.39,279
Philadelphia Phillies,4.22,-68.5,-7.0,6392,-0.6,110.7,-111.3,1.04,-3.5,2.9,-1.6%,28.5%,-30.0%,0.46,-2.8%,-9.0,-1.1,0.95,-35.4,1.44,238
Pittsburgh Pirates,4.02,-56.9,-5.9,6230,-2.5,102.5,-105.1,0.99,-3.2,0.6,0.7%,70.2%,-69.5%,1.1,2.1%,-19.8,-2.3,0.94,-30.4,1.46,227
San Diego Padres,4.02,-3.6,-0.7,6411,-0.3,109.4,-109.7,1.04,0.7,-1.0,-1.9%,10.0%,-11.9%,0.18,-8.9%,-2.7,-0.7,0.97,13.6,1.38,246
San Francisco Giants,4.43,64.8,6.1,6466,9.1,108.4,-99.3,0.97,4.0,5.3,5.6%,76.7%,-71.1%,1.16,2.0%,75.2,7.4,0.99,55.6,1.29,193
St. Louis Cardinals,4.72,59.7,5.7,6543,4.4,114.4,-110.0,1.01,8.5,-4.1,2.6%,89.9%,-87.3%,1.34,-3.3%,78.2,7.5,0.98,86.9,1.35,242
Washington Nationals,4.51,3.6,0.2,6442,5.9,114.6,-108.7,1.01,3.8,2.0,4.0%,73.7%,-69.7%,1.08,1.7%,37.4,3.5,0.95,39.5,1.31,212
League Average,4.22,-44.0,-5.0,6366,-0.0,107.0,-107.0,1.0,-0.0,-0.0,1%,49%,-49%,0.76,1%,-2.0,-0.0,0.0,-1.0,0.0,227
,4.22,-712.0,-74.8,101848,-6.4,1712.8,-1719.4,1.0,-3.8,-2.5,9.2%,788.2%,-779.2%,0.76,11.2%,-27.6,-7.2,0.95,-21.3,1.29,3635
