Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.5,-85.5,-8.2,6418,-11.5,98.5,-110.0,0.95,-6.2,-5.9,-2.3%,10.4%,-12.7%,0.18,-9.8%,-80.7,-7.8,0.92,-81.0,1.64,113
Boston Red Sox,5.56,50.4,4.5,6691,1.3,118.6,-117.4,1.0,6.0,-4.7,1.1%,50.6%,-49.5%,0.71,-2.7%,77.7,6.8,0.94,85.2,1.58,100
Chicago White Sox,4.4,-59.3,-5.8,6248,-4.6,99.7,-104.3,0.94,-5.8,1.0,-0.3%,23.7%,-24.0%,0.36,2.6%,-70.2,-6.9,0.93,-86.9,1.59,79
Cleveland Indians,4.75,-41.1,-4.1,6362,-2.5,99.4,-101.9,0.92,-1.2,-1.5,-2.8%,80.4%,-83.2%,1.24,-1.4%,-30.8,-3.0,0.92,-36.1,1.27,80
Detroit Tigers,3.61,-181.1,-17.3,6232,-21.5,98.4,-119.9,1.04,-16.5,-4.2,-3.1%,17.7%,-20.9%,0.31,-5.2%,-228.9,-21.8,0.91,-204.3,1.85,63
Houston Astros,5.68,163.1,15.1,6595,6.6,112.7,-106.1,0.93,15.0,-7.8,3.1%,55.0%,-51.9%,0.76,-4.1%,119.5,10.8,0.95,149.7,1.51,63
Kansas City Royals,4.27,-123.7,-11.9,6297,-12.4,100.2,-112.7,0.99,-11.5,-1.2,-1.4%,10.0%,-11.4%,0.17,-5.1%,-113.1,-10.8,0.92,-140.1,1.37,48
Los Angeles Angels,4.75,-28.2,-3.0,6430,-5.7,102.9,-108.6,0.96,-3.1,-2.8,-0.8%,28.8%,-29.7%,0.44,-2.7%,-32.3,-3.4,0.94,-35.5,1.59,83
Minnesota Twins,5.8,146.7,13.6,6524,10.0,115.7,-105.6,0.94,14.7,-4.1,7.1%,66.7%,-59.6%,0.89,-1.1%,147.8,13.8,0.92,163.4,1.49,66
New York Yankees,5.82,146.1,13.6,6414,13.6,110.5,-97.0,0.88,15.5,0.0,8.4%,56.5%,-48.1%,0.74,2.1%,171.7,16.1,0.93,171.4,1.63,52
Oakland Athletics,5.22,79.4,7.3,6428,7.0,111.9,-104.9,0.94,7.7,-0.2,5.9%,73.3%,-67.4%,1.01,1.2%,71.6,6.7,0.93,82.1,1.51,98
Seattle Mariners,4.68,1.8,0.0,6457,-3.2,106.3,-109.4,0.96,-0.1,-3.1,0.2%,24.3%,-24.2%,0.36,-1.7%,-18.8,-2.0,0.93,-10.5,1.83,70
Tampa Bay Rays,4.75,23.8,2.1,6506,-2.1,110.8,-112.9,0.99,2.1,-4.3,-1.1%,88.8%,-89.9%,1.31,-2.1%,-15.6,-1.6,0.94,0.9,1.67,108
Texas Rangers,5.0,-105.5,-10.2,6478,-3.8,105.2,-109.0,0.96,-4.9,1.0,-1.1%,39.3%,-40.3%,0.59,-1.0%,-21.4,-2.1,0.92,-52.4,1.73,70
Toronto Blue Jays,4.48,-48.6,-4.8,6257,-10.1,99.3,-109.4,0.95,-6.0,-4.6,-3.3%,13.3%,-16.7%,0.23,-9.0%,-65.6,-6.4,0.91,-73.2,1.59,65
League Average,4.88,-4.0,-1.0,6422,-3.0,106.0,-109.0,0.96,0.0,-3.0,1%,43%,-42%,0.62,-0%,-6.0,-1.0,0.0,-4.0,0.0,77
,4.88,-61.7,-9.0,96337,-38.8,1590.1,-1629.0,0.96,5.5,-46.0,9.6%,638.9%,-629.3%,0.62,-2.7%,-89.2,-11.5,0.93,-67.4,1.59,1158
