Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,3.84,-89.0,-8.9,6219,-19.2,92.4,-111.6,0.99,-11.6,-7.8,-1.8%,8.1%,-10.0%,0.14,-9.4%,-115.5,-11.6,0.91,-116.0,1.46,85
Boston Red Sox,5.41,96.0,9.0,6578,15.0,116.6,-101.6,0.95,9.9,5.8,6.8%,52.4%,-45.6%,0.71,4.1%,136.0,12.5,0.96,110.8,1.58,84
Chicago White Sox,4.05,-63.5,-6.3,6292,-9.2,98.3,-107.5,0.97,-6.4,-3.0,-2.1%,12.9%,-15.0%,0.22,-7.5%,-80.4,-8.1,0.92,-68.9,1.57,79
Cleveland Indians,5.05,46.8,4.4,6576,-0.9,104.4,-105.3,0.94,6.4,-7.3,0.7%,50.6%,-49.9%,0.74,-2.9%,73.3,6.9,0.95,63.9,1.27,87
Detroit Tigers,3.89,-137.0,-13.7,6221,-10.8,102.5,-113.3,1.02,-12.1,1.4,-3.5%,32.7%,-36.2%,0.54,-0.4%,-113.6,-11.2,0.94,-146.3,1.68,66
Houston Astros,4.92,52.6,5.0,6347,3.2,109.7,-106.5,0.98,5.4,-2.1,3.1%,79.4%,-76.3%,1.17,-1.1%,74.5,7.1,0.94,63.0,2.09,78
Kansas City Royals,3.94,-81.2,-8.2,6307,-14.3,100.8,-115.0,1.02,-9.8,-4.2,-2.3%,12.3%,-14.6%,0.21,-5.8%,-103.5,-10.4,0.92,-105.4,1.24,42
Los Angeles Angels,4.45,-7.8,-1.1,6322,-0.4,101.0,-101.4,0.93,1.3,-1.8,-0.3%,35.8%,-36.1%,0.55,-2.4%,-4.6,-0.8,0.93,9.9,1.37,99
Minnesota Twins,4.56,-28.1,-2.9,6342,-0.7,107.4,-108.1,1.0,-3.6,2.9,-2.4%,39.2%,-41.6%,0.63,-1.7%,-0.2,-0.2,0.93,-38.1,1.39,93
New York Yankees,5.25,93.2,8.9,6468,10.3,113.4,-103.1,0.95,12.8,-2.0,5.6%,56.7%,-51.2%,0.8,0.0%,120.1,11.5,0.95,142.0,1.73,59
Oakland Athletics,5.02,84.8,8.2,6403,3.8,112.3,-108.5,0.97,7.6,-3.7,0.3%,67.9%,-67.6%,0.99,-4.1%,86.7,8.4,0.94,88.6,1.39,117
Seattle Mariners,4.18,15.4,1.4,6302,1.4,110.2,-108.9,1.01,-2.5,3.8,0.6%,71.5%,-70.8%,1.09,2.4%,-36.4,-3.9,0.94,-33.8,1.91,87
Tampa Bay Rays,4.42,46.9,4.4,6474,-3.3,107.0,-110.2,1.0,1.9,-5.2,-3.2%,20.4%,-23.6%,0.34,-11.0%,-3.6,-0.5,0.96,13.9,1.77,91
Texas Rangers,4.55,-90.0,-9.0,6394,-7.2,102.0,-109.2,0.98,-2.7,-4.6,-1.7%,10.6%,-12.3%,0.18,-8.3%,-27.4,-2.7,0.94,-36.7,1.78,70
Toronto Blue Jays,4.38,16.5,1.5,6253,-0.7,110.2,-110.9,1.01,0.0,-0.7,-0.4%,25.1%,-25.6%,0.39,-0.4%,-15.8,-1.7,0.93,-0.6,1.53,118
League Average,4.53,-3.0,-0.0,6367,-2.0,106.0,-108.0,0.98,-0.0,-2.0,-0%,38%,-38%,0.58,-0%,-1.0,-0.0,0.0,-4.0,0.0,84
,4.53,-44.3,-7.3,95498,-33.0,1588.2,-1621.3,0.98,-3.4,-30.2,-0.5%,575.7%,-576.2%,0.58,-7.0%,-10.6,-4.6,0.94,-53.7,1.58,1255
