Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.64,-72.0,-7.3,6526,-0.4,114.1,-114.4,1.02,2.9,-3.2,-1.0%,26.0%,-27.0%,0.39,-3.2%,2.4,0.0,0.93,23.0,1.37,240
Atlanta Braves,4.03,-78.5,-7.9,6410,-9.6,108.9,-118.6,1.08,-5.9,-3.0,-2.0%,6.8%,-8.8%,0.13,-9.5%,-66.0,-6.8,0.97,-60.0,1.32,242
Chicago Cubs,4.99,40.5,3.7,6550,4.3,111.9,-107.6,0.99,9.0,-4.6,2.5%,41.6%,-39.2%,0.61,-0.6%,97.5,9.2,0.99,105.1,1.2,205
Cincinnati Reds,4.42,-77.9,-7.9,6377,-1.0,103.3,-104.3,0.96,-4.8,3.7,0.0%,12.8%,-12.8%,0.19,3.5%,-6.2,-0.9,0.94,-50.7,1.07,206
Colorado Rockies,5.22,-36.6,-3.8,6469,5.4,110.7,-105.3,0.96,4.5,1.1,1.0%,38.2%,-37.2%,0.56,-0.9%,81.9,7.2,0.94,49.8,1.15,216
Los Angeles Dodgers,4.48,-35.3,-3.6,6340,1.5,107.1,-105.6,0.98,0.5,1.0,1.5%,74.3%,-72.8%,1.12,0.8%,17.2,1.5,0.94,10.1,1.13,281
Miami Marlins,4.07,-23.5,-2.5,6322,-1.5,107.0,-108.5,1.01,-1.4,0.0,-2.2%,63.8%,-65.9%,1.01,-1.3%,-33.1,-3.6,0.96,-20.4,1.24,242
Milwaukee Brewers,4.14,-65.7,-6.6,6388,-9.2,102.9,-112.1,1.01,-2.1,-7.0,-1.7%,17.9%,-19.6%,0.29,-4.7%,-49.8,-5.0,0.96,-16.2,1.29,236
New York Mets,4.14,-23.7,-2.4,6245,-5.8,99.1,-104.8,0.96,-0.9,-5.1,-3.9%,72.6%,-76.5%,1.17,-2.8%,-28.5,-3.0,0.94,-2.6,1.2,245
Philadelphia Phillies,3.77,-148.3,-14.7,6236,-7.7,97.1,-104.8,0.96,-9.4,1.4,-3.8%,25.6%,-29.5%,0.44,-3.6%,-100.4,-10.0,0.92,-106.0,1.14,235
Pittsburgh Pirates,4.5,-26.2,-2.8,6518,0.3,111.9,-111.6,1.02,0.2,0.1,-0.8%,55.3%,-56.0%,0.85,-1.2%,10.7,0.9,0.98,15.0,1.19,240
San Diego Padres,4.23,-107.0,-10.7,6267,-8.6,101.1,-109.6,1.0,-6.7,-1.9,-3.7%,16.3%,-20.0%,0.3,-10.1%,-18.5,-2.2,0.92,-48.4,1.21,216
San Francisco Giants,4.41,-17.3,-1.8,6493,-3.3,112.9,-116.1,1.05,-1.6,-1.5,-3.4%,91.0%,-94.4%,1.42,-1.5%,4.7,0.3,0.98,-7.3,1.27,230
St. Louis Cardinals,4.81,31.8,3.0,6383,6.5,112.9,-106.3,0.98,7.8,-1.1,4.0%,78.6%,-74.5%,1.13,-1.2%,72.2,7.0,0.94,91.9,1.18,243
Washington Nationals,4.71,-31.4,-3.3,6442,4.5,110.3,-105.8,0.99,5.5,-1.0,2.6%,62.6%,-60.0%,0.93,-0.5%,42.9,3.9,0.94,52.6,1.31,199
League Average,4.44,-45.0,-5.0,6398,-2.0,107.0,-109.0,1.0,-0.0,-1.0,-1%,46%,-46%,0.7,-1%,2.0,-0.0,0.0,2.0,0.0,232
,4.44,-671.2,-68.6,95966,-24.5,1610.9,-1635.5,1.0,-2.4,-22.1,-10.8%,683.3%,-694.2%,0.7,-12.2%,26.8,-1.8,0.95,36.0,1.22,3476
