Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,5.06,-59.9,-6.0,6520,5.5,112.8,-107.2,1.0,7.9,-2.3,3.9%,65.6%,-61.7%,0.96,0.6%,79.9,7.0,0.98,94.5,1.31,260
Atlanta Braves,4.4,-62.2,-6.3,6414,0.7,108.4,-107.7,0.99,-0.7,1.4,0.4%,44.8%,-44.4%,0.68,0.9%,-15.9,-1.8,0.97,-4.6,1.27,223
Chicago Cubs,4.36,-56.1,-5.7,6417,-6.2,107.3,-113.4,1.04,0.5,-6.4,-1.8%,14.9%,-16.7%,0.25,-7.2%,-9.5,-1.3,0.95,7.6,1.66,208
Cincinnati Reds,4.38,-80.9,-8.0,6492,-3.3,109.5,-112.8,1.02,-0.9,-2.3,-0.5%,69.0%,-69.5%,1.07,-0.1%,-29.2,-2.9,0.96,-9.9,1.27,249
Colorado Rockies,4.8,-113.9,-11.3,6412,0.4,102.5,-102.1,0.94,-0.7,1.1,-0.2%,22.6%,-22.8%,0.35,0.5%,19.1,1.4,0.94,-11.8,1.11,247
Florida Marlins,4.31,-16.8,-1.8,6607,-2.4,111.2,-113.6,1.03,3.6,-6.0,-0.3%,42.7%,-43.0%,0.66,-1.7%,-14.9,-1.7,0.97,27.4,1.22,217
Houston Astros,4.62,-61.5,-6.2,6415,-2.6,106.9,-109.5,1.0,0.1,-2.7,-2.5%,50.4%,-52.9%,0.8,-3.5%,13.0,0.9,0.96,14.2,1.41,215
Los Angeles Dodgers,4.4,-15.4,-1.7,6344,0.7,110.3,-109.6,1.03,1.6,-1.0,0.8%,111.5%,-110.8%,1.73,-0.3%,18.9,1.6,0.96,23.9,1.32,244
Milwaukee Brewers,3.87,-96.4,-9.5,6307,-16.4,98.3,-114.7,1.02,-9.3,-6.7,-2.2%,9.5%,-11.6%,0.17,-10.3%,-91.9,-9.2,0.95,-97.1,1.19,247
Montreal Expos,4.54,-47.4,-4.8,6514,2.5,117.2,-114.8,1.07,4.3,-2.0,0.9%,50.2%,-49.3%,0.76,-0.7%,8.6,0.5,0.95,39.8,1.56,203
New York Mets,4.29,-70.8,-7.0,6360,-7.7,104.1,-111.8,1.03,-2.3,-5.1,-3.8%,45.4%,-49.2%,0.76,-3.5%,-13.8,-1.5,0.95,-12.7,1.23,263
Philadelphia Phillies,4.41,50.2,4.6,6546,4.2,125.2,-121.0,1.11,6.2,-2.5,0.1%,21.9%,-21.8%,0.33,-2.1%,13.0,1.0,0.98,69.6,1.49,209
Pittsburgh Pirates,3.98,-141.5,-14.0,6237,-7.2,99.6,-106.7,1.0,-5.7,-1.5,-3.3%,26.7%,-30.0%,0.45,-3.5%,-69.3,-6.9,0.95,-66.1,1.13,211
San Diego Padres,4.09,-41.1,-4.2,6358,-3.7,105.1,-108.9,1.01,-2.1,-1.5,-1.5%,20.5%,-22.0%,0.34,-2.6%,-30.0,-3.3,0.97,-30.7,1.35,210
San Francisco Giants,4.83,90.8,8.1,6471,6.1,112.6,-106.5,1.0,13.1,-7.0,7.3%,117.9%,-110.6%,1.74,-3.3%,94.3,8.6,0.98,138.7,1.31,185
St. Louis Cardinals,4.86,14.3,1.2,6456,7.0,108.1,-101.1,0.95,6.7,0.7,4.4%,76.3%,-71.9%,1.12,0.4%,77.9,7.3,0.97,58.8,1.1,260
League Average,4.45,-44.0,-5.0,6429,-1.0,109.0,-110.0,1.01,1.0,-3.0,0%,49%,-49%,0.76,-0%,3.0,-0.0,0.0,15.0,0.0,228
,4.45,-708.8,-72.6,102870,-22.3,1739.1,-1761.3,1.01,22.3,-44.3,1.7%,789.7%,-788.2%,0.76,-7.6%,50.3,-0.3,0.96,241.5,1.3,3651
