Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,3.8,-208.7,-20.0,6275,-16.6,101.9,-118.4,1.04,-13.5,-2.4,-1.0%,16.1%,-17.0%,0.26,-1.6%,-164.8,-15.4,0.92,-162.4,1.31,215
Atlanta Braves,4.96,-8.7,-1.1,6520,6.1,112.5,-106.5,0.98,5.5,0.6,2.0%,58.1%,-56.1%,0.86,-0.5%,53.2,4.7,0.96,70.7,1.29,220
Chicago Cubs,4.87,-19.4,-2.1,6458,-1.3,114.4,-115.7,1.02,5.6,-6.9,-6.6%,124.9%,-131.5%,1.92,-6.3%,25.5,2.1,0.93,54.3,1.3,229
Cincinnati Reds,4.63,-39.0,-3.9,6451,5.8,114.0,-108.2,1.0,0.5,5.3,5.1%,58.6%,-53.4%,0.84,5.8%,10.0,0.6,0.95,0.7,1.31,225
Colorado Rockies,5.14,-54.6,-5.5,6504,2.0,116.1,-114.1,1.02,6.0,-4.0,0.5%,18.6%,-18.1%,0.27,-0.3%,40.1,3.3,0.95,72.5,1.22,245
Florida Marlins,4.43,-46.2,-4.5,6363,0.7,107.5,-106.8,0.99,0.3,0.5,0.3%,70.5%,-70.2%,1.08,-0.1%,-13.4,-1.5,0.96,-16.7,1.38,195
Houston Astros,4.96,-6.9,-0.9,6468,4.8,108.8,-104.0,0.96,5.6,-0.6,3.3%,75.2%,-71.9%,1.09,-0.1%,55.8,4.9,0.97,49.1,1.15,225
Los Angeles Dodgers,4.7,-15.1,-1.6,6459,4.8,115.3,-110.5,1.01,5.0,-0.2,4.3%,88.4%,-84.1%,1.28,0.2%,23.5,2.0,0.95,40.6,1.38,246
Milwaukee Brewers,3.94,-144.6,-13.9,6446,-13.2,101.4,-114.6,1.02,-9.1,-3.9,-4.1%,42.7%,-46.7%,0.69,-1.9%,-119.1,-11.5,0.96,-103.6,1.23,249
Montreal Expos,3.92,-191.4,-18.3,6335,-14.1,99.6,-113.7,1.01,-10.0,-3.9,-3.8%,7.6%,-11.4%,0.16,-18.9%,-140.0,-13.2,0.93,-129.6,1.43,221
New York Mets,4.22,-102.5,-9.9,6401,-11.5,106.9,-118.4,1.04,-5.4,-5.7,-4.0%,45.7%,-49.8%,0.74,-4.2%,-70.5,-6.8,0.94,-68.4,1.33,234
Philadelphia Phillies,5.19,-16.4,-1.8,6655,5.1,125.1,-120.0,1.08,8.5,-3.8,-0.6%,70.9%,-71.5%,1.06,-4.3%,60.4,5.3,0.96,86.1,1.46,225
Pittsburgh Pirates,4.22,-115.1,-11.1,6286,-7.0,104.7,-111.7,1.03,-6.7,-0.1,-1.5%,23.7%,-25.2%,0.39,-1.4%,-66.4,-6.5,0.95,-80.2,1.25,240
San Diego Padres,4.74,58.8,5.3,6474,4.3,111.8,-107.6,1.0,5.0,-0.8,1.9%,87.4%,-85.6%,1.32,-2.0%,52.1,4.9,0.99,53.8,1.17,212
San Francisco Giants,5.25,45.6,3.6,6605,12.3,123.3,-111.0,1.05,8.2,3.6,13.2%,123.1%,-109.9%,1.74,2.7%,96.5,8.3,0.98,90.7,1.58,191
St. Louis Cardinals,5.28,60.7,5.3,6534,11.3,116.8,-105.6,0.98,12.2,-0.7,5.2%,49.1%,-43.9%,0.69,2.8%,118.5,10.8,0.96,125.6,1.27,244
League Average,4.64,-50.0,-5.0,6452,-0.0,111.0,-112.0,1.02,1.0,-2.0,1%,60%,-59%,0.9,-0%,-2.0,-1.0,0.0,5.0,0.0,226
,4.64,-803.6,-80.1,103234,-6.5,1780.1,-1786.7,1.02,17.6,-24.0,14.4%,960.5%,-946.2%,0.9,-1.0%,-38.7,-8.1,0.95,83.3,1.31,3616
