Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Anaheim Angels,5.33,39.4,3.3,6589,0.6,118.6,-118.0,1.01,4.3,-3.7,0.2%,75.7%,-75.5%,1.08,-2.2%,0.0,-0.2,0.94,26.3,1.48,82
Baltimore Orioles,4.9,5.2,0.3,6484,-4.5,106.6,-111.1,0.97,-2.3,-2.3,0.6%,30.1%,-29.5%,0.43,0.7%,-39.1,-3.7,0.93,-38.7,1.11,63
Boston Red Sox,4.89,-88.3,-8.2,6513,-11.4,111.9,-123.3,1.05,-5.8,-5.0,-10.5%,97.1%,-107.6%,1.53,-3.7%,-79.4,-7.3,0.94,-90.1,1.75,134
Chicago White Sox,6.04,49.0,4.2,6660,5.5,109.1,-103.6,0.91,7.6,-1.6,3.2%,43.3%,-40.1%,0.59,0.0%,117.4,10.2,0.94,95.4,1.74,73
Cleveland Indians,5.86,92.4,8.0,6758,5.6,117.7,-112.1,0.98,9.9,-4.2,5.8%,128.6%,-122.9%,1.8,-2.8%,96.9,8.4,0.96,97.5,1.86,65
Detroit Tigers,5.08,23.6,2.0,6537,-4.3,106.6,-110.9,0.96,-0.2,-4.3,-2.7%,17.7%,-20.4%,0.28,-8.6%,-10.9,-1.1,0.95,-17.7,1.31,107
Kansas City Royals,5.43,-65.8,-6.1,6641,3.5,123.0,-119.4,1.07,-0.1,3.4,1.9%,43.2%,-41.4%,0.62,3.5%,11.5,0.8,0.95,-22.6,1.86,120
Minnesota Twins,4.62,-136.4,-12.4,6504,-10.5,109.4,-119.9,1.04,-9.9,-0.3,-1.7%,23.2%,-24.9%,0.36,-0.6%,-128.1,-11.4,0.94,-132.5,2.05,146
New York Yankees,5.41,33.6,2.8,6532,3.1,107.7,-104.6,0.93,2.1,1.2,5.9%,83.9%,-78.0%,1.17,3.0%,35.2,2.9,0.95,19.6,1.53,76
Oakland Athletics,5.88,92.9,8.1,6550,8.3,113.6,-105.3,0.94,8.8,-0.1,9.7%,121.3%,-111.6%,1.67,0.6%,118.0,10.5,0.96,101.6,1.5,137
Seattle Mariners,5.6,94.5,8.2,6701,0.9,107.2,-106.2,0.94,6.5,-5.6,1.7%,98.5%,-96.8%,1.43,-2.9%,83.8,7.4,0.97,60.3,1.43,94
Tampa Bay Devil Rays,4.55,-124.1,-11.3,6417,-10.3,109.9,-120.1,1.06,-9.1,-0.6,-0.8%,14.7%,-15.5%,0.23,-0.9%,-111.5,-10.3,0.93,-130.6,1.86,99
Texas Rangers,5.23,0.9,-0.1,6546,-0.7,115.9,-116.6,1.02,1.7,-2.4,1.0%,41.0%,-40.0%,0.58,0.0%,-10.1,-1.1,0.95,-0.5,1.95,103
Toronto Blue Jays,5.31,-8.7,-1.1,6526,-0.6,108.6,-109.1,0.94,1.6,-2.2,-1.0%,79.1%,-80.1%,1.15,-2.5%,0.0,-0.3,0.93,4.9,1.23,51
League Average,5.3,1.0,-0.0,6568,-1.0,112.0,-113.0,0.99,1.0,-2.0,1%,64%,-63%,0.93,-0%,6.0,0.0,0.0,-2.0,0.0,96
,5.3,8.2,-2.1,91958,-14.7,1565.6,-1580.3,0.99,15.3,-30.2,13.1%,897.4%,-884.3%,0.93,-3.7%,83.8,4.8,0.95,-27.0,1.66,1350
