Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.57,-44.9,-4.3,6407,-8.5,104.5,-112.9,1.0,-4.5,-4.0,-0.9%,19.5%,-20.4%,0.3,-0.6%,-42.5,-4.1,0.94,-59.8,1.46,89
Boston Red Sox,5.38,55.6,5.0,6582,6.0,109.8,-103.8,0.94,9.1,-2.7,3.9%,92.8%,-88.8%,1.33,-1.6%,89.5,8.0,0.97,101.7,1.45,73
Chicago White Sox,4.47,-91.0,-8.7,6389,-8.0,102.5,-110.6,0.97,-5.6,-2.6,-5.5%,62.0%,-67.5%,0.99,-2.6%,-65.0,-6.1,0.94,-80.9,1.28,94
Cleveland Indians,4.77,34.0,3.1,6540,-4.7,106.5,-111.2,0.99,0.1,-4.9,-0.3%,21.2%,-21.5%,0.33,-2.1%,9.3,0.7,0.96,7.4,2.06,52
Detroit Tigers,4.56,-50.1,-4.9,6417,-1.6,109.4,-111.0,0.99,-0.9,-0.7,-3.0%,126.9%,-129.8%,1.88,-1.0%,-35.0,-3.4,0.95,-31.3,1.64,104
Kansas City Royals,4.23,-73.2,-7.0,6276,-8.9,98.6,-107.5,0.96,-6.1,-3.2,-2.0%,28.5%,-30.5%,0.46,-0.5%,-79.1,-7.7,0.94,-75.6,1.37,82
Los Angeles Angels of Anaheim,5.45,68.4,6.3,6628,11.8,117.7,-105.9,0.98,9.8,2.2,9.8%,80.1%,-70.4%,1.1,3.0%,118.2,11.0,0.96,92.9,1.31,65
Minnesota Twins,5.01,39.8,3.5,6575,2.8,111.1,-108.3,0.97,5.5,-2.6,7.3%,108.1%,-100.8%,1.54,1.4%,44.5,4.0,0.96,50.5,1.73,66
New York Yankees,5.65,123.7,11.4,6672,12.6,123.4,-110.9,1.0,13.8,-1.2,6.8%,75.2%,-68.4%,1.02,-1.4%,127.0,11.4,0.97,155.2,1.44,76
Oakland Athletics,4.69,-59.3,-5.7,6524,-6.7,105.6,-112.3,1.0,-3.1,-3.6,-3.5%,22.4%,-25.9%,0.38,-5.9%,-15.5,-1.6,0.96,-42.9,1.89,72
Seattle Mariners,3.95,-62.8,-6.0,6303,-5.2,106.5,-111.7,1.02,-7.6,2.5,-3.3%,53.1%,-56.4%,0.87,0.5%,-111.6,-11.0,0.93,-101.1,2.09,51
Tampa Bay Rays,4.96,55.1,5.0,6578,2.3,111.4,-109.1,0.99,5.3,-3.0,0.6%,63.7%,-63.2%,0.95,-2.5%,40.1,3.5,0.97,49.8,1.53,119
Texas Rangers,4.84,-51.0,-4.9,6367,-0.2,101.8,-102.0,0.91,2.2,-2.4,0.6%,86.0%,-85.4%,1.27,-1.3%,2.6,0.2,0.93,5.0,1.79,42
Toronto Blue Jays,4.93,13.0,1.0,6539,-4.1,114.5,-118.6,1.05,4.0,-7.9,-2.2%,49.9%,-52.2%,0.77,-4.0%,12.2,1.0,0.95,28.8,2.66,45
League Average,4.82,-3.0,-0.0,6486,-1.0,109.0,-110.0,0.99,2.0,-2.0,1%,64%,-63%,0.94,-0%,7.0,0.0,0.0,7.0,0.0,74
,4.82,-42.8,-6.1,90797,-12.5,1523.1,-1535.6,0.99,21.9,-34.5,8.2%,889.3%,-881.3%,0.94,-2.5%,94.9,5.9,0.95,99.7,1.62,1030
