Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.23,-28.1,-3.1,6532,0.5,116.8,-116.2,1.08,-2.2,2.7,0.6%,75.1%,-74.5%,1.15,2.1%,18.5,1.6,0.97,-8.6,1.39,238
Atlanta Braves,4.25,-8.8,-1.1,6319,5.6,108.9,-103.3,0.99,5.0,0.7,3.8%,57.9%,-54.1%,0.87,1.7%,47.7,4.5,0.95,60.2,1.17,186
Chicago Cubs,3.72,-87.1,-9.1,6247,-7.4,101.9,-109.3,1.01,-2.2,-5.1,-1.0%,15.3%,-16.3%,0.25,-4.2%,-53.1,-5.5,0.94,-17.2,1.34,241
Cincinnati Reds,4.31,-6.2,-1.0,6504,0.7,106.8,-106.1,1.0,3.6,-2.9,1.0%,74.7%,-73.7%,1.16,-1.6%,45.6,4.2,0.97,49.0,1.13,203
Colorado Rockies,4.36,-84.5,-8.9,6396,-1.5,104.3,-105.8,0.96,2.1,-3.7,-1.4%,48.7%,-50.1%,0.76,-3.2%,14.3,1.2,0.95,18.5,1.06,241
Los Angeles Dodgers,4.01,33.4,3.1,6339,3.0,112.0,-109.0,1.05,3.4,-0.5,2.5%,48.5%,-46.0%,0.74,0.6%,19.2,1.6,0.98,41.5,1.36,192
Miami Marlins,3.17,-210.7,-21.8,6200,-21.6,101.1,-122.6,1.14,-17.5,-1.5,-2.7%,7.2%,-9.9%,0.15,-13.6%,-147.7,-15.2,0.94,-164.8,1.41,213
Milwaukee Brewers,3.95,-64.3,-6.8,6333,1.0,106.1,-105.0,1.0,-1.7,2.7,0.9%,17.8%,-16.9%,0.27,3.6%,-11.6,-1.4,0.95,-19.2,1.19,238
New York Mets,3.82,-60.4,-6.4,6436,-3.8,108.6,-112.4,1.07,-4.6,1.1,-0.2%,21.6%,-21.9%,0.35,0.1%,-23.1,-2.7,0.95,-27.2,1.37,228
Philadelphia Phillies,3.77,-75.9,-7.9,6218,-2.6,102.2,-104.8,1.01,-4.1,1.6,-0.7%,32.8%,-33.6%,0.53,0.0%,-31.2,-3.3,0.94,-20.0,1.42,234
Pittsburgh Pirates,3.91,3.9,0.1,6351,-0.2,108.5,-108.7,1.02,4.1,-4.3,-1.2%,78.8%,-80.0%,1.25,-3.4%,2.5,0.0,0.96,49.6,1.41,253
San Diego Padres,3.81,-10.8,-1.3,6384,-0.3,106.4,-106.7,1.02,0.1,-0.4,-0.3%,30.0%,-30.4%,0.48,-0.7%,-1.1,-0.3,0.96,11.5,1.36,244
San Francisco Giants,3.88,13.0,1.1,6361,3.1,112.2,-109.0,1.06,0.8,2.1,2.2%,47.7%,-45.5%,0.74,3.8%,8.4,0.6,0.98,15.8,1.44,236
St. Louis Cardinals,4.83,22.1,1.9,6341,8.6,102.4,-93.9,0.91,4.6,4.9,6.8%,80.8%,-74.0%,1.2,2.6%,137.0,13.4,0.97,63.9,0.99,209
Washington Nationals,4.05,-54.3,-5.8,6249,0.6,101.1,-100.5,0.96,2.1,-1.5,-2.5%,42.5%,-45.0%,0.7,-5.6%,7.3,0.5,0.95,17.4,1.06,212
League Average,4.0,-41.0,-4.0,6347,-1.0,107.0,-108.0,1.02,-0.0,-0.0,1%,45%,-45%,0.71,0%,2.0,-0.0,0.0,5.0,0.0,225
,4.0,-618.5,-66.8,95210,-14.2,1599.0,-1613.3,1.02,-6.6,-7.3,7.6%,679.3%,-671.7%,0.71,3.9%,32.8,-0.9,0.96,70.3,1.28,3368
