Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.59,4.8,0.4,6211,1.6,105.5,-104.0,0.96,3.3,-1.7,-0.5%,104.1%,-104.6%,1.6,-2.2%,14.3,1.2,0.92,34.0,1.25,66
Boston Red Sox,5.42,100.7,9.5,6541,8.6,117.8,-109.3,0.99,11.7,-3.1,8.6%,105.6%,-97.0%,1.47,-1.1%,136.7,12.6,0.96,138.9,1.79,93
Chicago White Sox,4.23,-5.6,-0.7,6321,-1.5,109.5,-111.0,1.02,-1.5,0.1,-2.4%,46.1%,-48.5%,0.73,-1.8%,-33.9,-3.5,0.94,-10.9,1.37,44
Cleveland Indians,4.83,-27.6,-2.8,6417,2.3,109.9,-107.5,0.98,4.3,-1.9,2.7%,73.1%,-70.5%,1.07,-0.1%,25.7,2.3,0.95,30.6,1.65,97
Detroit Tigers,4.66,46.8,4.3,6323,2.0,108.6,-106.6,0.97,3.1,-1.1,0.7%,86.2%,-85.5%,1.3,-1.5%,29.0,2.6,0.95,36.2,1.54,79
Houston Astros,4.47,29.2,2.6,6448,-2.9,107.3,-110.2,0.99,1.6,-4.5,-3.3%,55.1%,-58.4%,0.86,-5.0%,7.1,0.4,0.94,12.7,1.31,103
Kansas City Royals,4.17,-87.4,-8.6,6304,-4.8,105.4,-110.2,1.01,-6.2,1.5,-2.6%,53.0%,-55.6%,0.85,0.3%,-60.0,-5.8,0.93,-73.5,1.99,45
Los Angeles Angels,4.43,9.1,0.7,6234,0.1,101.4,-101.3,0.96,-0.4,0.5,-0.7%,21.8%,-22.5%,0.35,-1.5%,13.2,1.0,0.96,-9.9,1.58,83
Minnesota Twins,4.46,-19.5,-2.0,6463,-8.8,108.0,-116.8,1.04,0.3,-8.8,-1.8%,8.3%,-10.1%,0.15,-11.0%,-21.5,-2.2,0.93,6.7,1.19,62
New York Yankees,4.2,-73.4,-7.3,6248,-3.3,101.2,-104.6,0.96,-2.7,-0.7,-3.7%,44.8%,-48.5%,0.73,-3.5%,-57.8,-5.6,0.94,-41.4,1.02,78
Oakland Athletics,4.03,-68.3,-6.8,6168,-5.7,98.9,-104.6,0.96,-7.1,1.1,-1.7%,20.6%,-22.4%,0.34,-2.3%,-61.8,-6.3,0.92,-74.7,1.83,127
Seattle Mariners,4.74,54.7,5.1,6404,2.1,112.1,-109.9,0.99,5.3,-3.2,0.6%,74.3%,-73.7%,1.1,-2.9%,47.7,4.5,0.95,56.6,1.47,147
Tampa Bay Rays,4.15,1.8,0.1,6258,-8.9,100.2,-109.2,0.98,-0.3,-8.8,-1.7%,22.1%,-23.8%,0.36,-3.6%,-43.0,-4.5,0.92,-0.6,1.63,97
Texas Rangers,4.72,-36.4,-3.6,6317,9.4,114.3,-104.9,0.98,2.1,7.5,5.2%,64.8%,-59.7%,0.92,4.6%,23.2,2.1,0.93,29.7,1.43,71
Toronto Blue Jays,4.69,14.6,1.2,6400,-1.4,110.5,-111.9,1.01,3.2,-4.7,-0.6%,99.7%,-100.3%,1.5,-2.5%,15.5,1.3,0.94,35.6,1.55,71
League Average,4.52,-4.0,-1.0,6337,-1.0,107.0,-108.0,0.99,1.0,-2.0,-0%,59%,-59%,0.89,-1%,2.0,0.0,0.0,11.0,0.0,84
,4.52,-56.4,-7.9,95057,-11.3,1610.5,-1622.0,0.99,16.8,-28.3,-1.1%,879.6%,-880.9%,0.89,-10.6%,34.3,0.0,0.94,170.2,1.52,1263
