Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.77,-106.2,-10.0,6508,-8.1,107.9,-116.0,1.01,-3.0,-5.1,-5.5%,74.9%,-80.5%,1.17,-3.5%,-37.4,-3.6,0.95,-36.9,1.2,233
Atlanta Braves,5.24,2.4,0.0,6437,3.8,115.9,-112.1,1.02,6.4,-2.7,0.0%,44.2%,-44.2%,0.66,-2.5%,73.5,6.6,0.95,65.8,1.19,278
Chicago Cubs,4.42,-136.6,-13.0,6389,-8.1,101.1,-109.3,0.96,-7.0,-1.4,-2.2%,15.4%,-17.6%,0.26,-4.2%,-77.9,-7.4,0.93,-95.6,1.17,241
Cincinnati Reds,4.62,-68.9,-6.6,6519,-0.1,113.7,-113.8,1.02,-1.2,1.1,-1.8%,105.0%,-106.9%,1.57,-1.2%,-46.5,-4.4,0.94,-34.7,1.43,241
Colorado Rockies,5.02,-92.2,-9.0,6558,-6.3,112.6,-119.0,1.03,-1.3,-4.8,-8.6%,60.3%,-68.9%,0.97,-6.7%,-2.5,-0.6,0.96,-18.8,1.31,229
Florida Marlins,4.68,-4.4,-0.6,6429,1.3,107.3,-106.0,0.96,2.7,-1.3,-0.2%,38.1%,-38.3%,0.57,-1.6%,3.9,0.1,0.94,18.9,1.25,211
Houston Astros,4.54,-90.2,-8.8,6522,-7.2,108.0,-115.3,1.02,-4.4,-2.7,-7.7%,63.0%,-70.8%,1.03,-5.1%,-59.3,-5.9,0.95,-52.1,1.42,254
Los Angeles Dodgers,5.06,-11.3,-1.2,6639,0.2,111.0,-110.8,0.99,3.4,-3.2,2.1%,111.3%,-109.1%,1.63,-0.7%,32.1,2.8,0.97,25.3,1.17,257
Milwaukee Brewers,4.51,-89.9,-8.6,6315,-1.4,110.3,-111.8,1.02,-3.1,1.7,-0.7%,50.0%,-50.8%,0.77,1.4%,-43.3,-4.2,0.95,-48.2,1.26,210
New York Mets,5.15,-2.3,-0.5,6536,7.7,114.3,-106.6,0.99,4.6,3.2,2.7%,48.2%,-45.5%,0.7,1.1%,63.3,5.6,0.95,38.4,1.2,214
Philadelphia Phillies,5.34,-21.6,-2.4,6699,4.1,119.9,-115.8,1.01,6.6,-2.6,2.7%,97.0%,-94.3%,1.38,-2.1%,65.7,5.6,0.95,77.9,1.36,273
Pittsburgh Pirates,4.27,-110.2,-10.5,6395,-12.7,108.7,-121.4,1.09,-7.4,-4.3,-1.6%,7.7%,-9.3%,0.13,-11.0%,-84.4,-8.2,0.96,-85.6,1.38,234
San Diego Padres,4.51,6.3,0.4,6516,-2.1,114.7,-116.8,1.05,0.0,-2.0,-1.3%,113.9%,-115.1%,1.73,-0.8%,-23.3,-2.5,0.96,-5.6,1.27,219
San Francisco Giants,4.63,-91.6,-8.8,6274,-2.8,107.4,-110.2,1.02,-4.2,1.5,-1.7%,74.7%,-76.4%,1.18,0.1%,-26.6,-2.8,0.94,-57.1,1.4,187
St. Louis Cardinals,4.85,-28.5,-3.0,6376,1.6,107.9,-106.3,0.98,1.2,0.4,3.8%,86.3%,-82.5%,1.28,2.1%,11.9,0.8,0.96,12.0,1.33,234
Washington Nationals,4.6,2.2,-0.1,6556,2.7,119.6,-116.9,1.07,0.0,2.5,-1.0%,21.8%,-22.9%,0.34,-3.3%,-12.7,-1.5,0.96,-5.0,1.35,255
League Average,4.76,-53.0,-5.0,6479,-2.0,111.0,-113.0,1.02,-0.0,-1.0,-1%,63%,-65%,0.96,-1%,-10.0,-1.0,0.0,-13.0,0.0,236
,4.76,-843.0,-82.6,103668,-27.4,1780.5,-1808.1,1.02,-6.7,-20.3,-21.0%,1011.9%,-1033.0%,0.96,-20.1%,-163.3,-19.8,0.95,-201.3,1.29,3770
