Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,5.05,-59.1,-5.9,6535,-2.9,109.4,-112.4,0.99,2.4,-5.4,-1.3%,105.5%,-106.8%,1.59,-2.2%,28.4,2.3,0.95,26.7,1.43,274
Atlanta Braves,4.5,-119.9,-11.6,6347,-5.9,105.4,-111.3,1.02,-3.4,-2.4,-6.3%,101.6%,-107.9%,1.63,-1.7%,-38.8,-3.9,0.94,-45.2,1.32,233
Chicago Cubs,4.8,16.4,1.1,6393,2.8,107.7,-104.9,0.98,4.5,-1.6,2.0%,93.5%,-91.5%,1.41,-1.0%,38.7,3.3,0.96,40.3,1.49,186
Cincinnati Reds,4.54,-121.6,-11.7,6468,-7.1,108.0,-115.0,1.01,-3.8,-3.2,-1.7%,19.9%,-21.6%,0.32,-1.9%,-52.8,-5.0,0.94,-54.2,1.36,264
Colorado Rockies,5.7,-37.1,-3.9,6696,4.4,120.3,-115.9,1.01,11.6,-7.2,2.3%,36.2%,-33.9%,0.5,0.5%,95.3,7.8,0.94,124.9,1.28,276
Florida Marlins,4.58,-34.0,-3.4,6385,-2.4,108.0,-110.5,1.0,0.2,-2.6,-0.3%,43.4%,-43.7%,0.66,-1.1%,-2.4,-0.5,0.94,-9.7,1.36,201
Houston Astros,5.23,-3.2,-0.6,6541,6.1,117.5,-111.4,1.0,7.2,-1.2,4.3%,89.3%,-85.0%,1.27,-0.6%,65.0,5.5,0.96,79.9,1.27,215
Los Angeles Dodgers,4.68,-5.4,-0.8,6378,3.2,113.1,-109.9,1.01,3.3,-0.1,1.9%,96.4%,-94.5%,1.45,-0.2%,26.4,2.2,0.94,24.7,1.39,223
Milwaukee Brewers,4.57,-62.9,-6.1,6317,-6.0,97.2,-103.2,0.94,-1.6,-4.8,-2.5%,33.5%,-36.0%,0.54,-2.9%,-9.1,-1.1,0.93,-21.9,1.04,213
Montreal Expos,4.14,-139.2,-13.3,6264,-9.0,97.9,-106.9,0.97,-8.8,-0.5,-2.9%,16.0%,-18.9%,0.28,-7.6%,-88.9,-8.6,0.94,-111.0,1.13,207
New York Mets,3.96,-97.3,-9.4,6347,-5.2,109.7,-114.9,1.06,-5.4,0.5,-2.5%,24.3%,-26.8%,0.4,-3.4%,-99.2,-9.9,0.96,-73.1,1.2,242
Philadelphia Phillies,4.6,-47.3,-4.7,6476,2.1,113.5,-111.4,1.03,2.3,-0.2,-0.2%,111.1%,-111.3%,1.71,-1.6%,6.4,0.3,0.95,11.6,1.33,198
Pittsburgh Pirates,4.06,-181.2,-17.5,6262,-8.1,100.7,-108.8,0.98,-7.6,-0.6,-1.3%,12.3%,-13.6%,0.2,-5.5%,-110.2,-10.6,0.93,-99.8,1.31,218
San Diego Padres,4.87,2.2,-0.1,6524,5.8,110.9,-105.1,0.98,1.6,4.3,1.5%,32.3%,-30.9%,0.49,2.3%,58.8,5.4,0.97,15.1,1.28,213
San Francisco Giants,4.93,106.5,9.4,6569,3.8,114.3,-110.5,1.0,10.3,-6.5,3.3%,114.4%,-111.1%,1.67,-4.4%,55.5,4.8,0.96,115.0,1.3,232
St. Louis Cardinals,5.02,-3.0,-0.6,6378,3.2,104.1,-100.8,0.93,6.6,-3.1,3.0%,76.7%,-73.7%,1.13,-1.1%,61.5,5.4,0.95,61.2,0.98,230
League Average,4.7,-49.0,-5.0,6430,-1.0,109.0,-110.0,0.99,1.0,-2.0,-0%,63%,-63%,0.96,-1%,2.0,-0.0,0.0,5.0,0.0,227
,4.7,-786.2,-79.0,102880,-15.2,1737.7,-1753.0,0.99,19.3,-34.6,-0.8%,1006.4%,-1007.2%,0.96,-13.0%,34.6,-2.6,0.95,84.5,1.28,3625
