Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.07,-67.1,-6.8,6176,-12.1,92.7,-104.9,0.94,-7.6,-5.3,-2.6%,13.8%,-16.4%,0.24,-8.7%,-94.3,-9.4,0.92,-88.2,1.57,73
Boston Red Sox,5.12,43.3,4.1,6290,6.3,112.6,-106.3,0.99,5.3,1.1,5.2%,100.6%,-95.5%,1.48,0.2%,61.7,5.7,0.95,58.0,1.75,77
Chicago White Sox,4.91,51.6,4.9,6261,3.9,106.0,-102.1,0.95,7.6,-3.4,3.3%,56.4%,-53.1%,0.84,-0.7%,57.7,5.5,0.96,72.8,1.68,74
Cleveland Indians,4.43,-51.1,-5.2,6113,-4.2,100.0,-104.2,0.96,-2.9,-1.5,-2.0%,48.0%,-50.0%,0.77,-1.1%,-25.1,-2.7,0.92,-47.4,1.13,77
Detroit Tigers,4.3,-31.3,-3.2,6184,-7.0,104.4,-111.4,1.02,-6.1,-0.7,-2.6%,15.3%,-18.0%,0.27,-6.0%,-49.3,-5.1,0.94,-68.7,1.9,64
Houston Astros,5.33,108.7,10.5,6450,4.6,109.0,-104.5,0.96,6.7,-2.0,4.2%,77.0%,-72.9%,1.12,-0.4%,105.4,10.1,0.96,75.9,1.54,81
Kansas City Royals,4.23,-84.6,-8.5,6245,-3.8,100.5,-104.3,0.96,-6.3,2.3,-1.7%,26.5%,-28.2%,0.43,-0.9%,-71.5,-7.1,0.94,-89.1,1.36,73
Los Angeles Angels,4.46,-58.1,-6.0,6216,-4.5,96.9,-101.4,0.93,-3.4,-1.4,-1.1%,30.5%,-31.6%,0.49,-1.3%,-34.3,-3.6,0.93,-57.9,1.48,65
Minnesota Twins,4.5,23.1,2.1,6254,-5.0,105.2,-110.2,1.0,-1.0,-3.9,-1.6%,15.5%,-17.1%,0.26,-5.5%,-24.3,-2.6,0.93,-19.3,1.61,97
New York Yankees,4.39,0.9,0.0,6236,1.1,112.1,-111.0,1.03,-0.3,1.3,1.4%,77.8%,-76.4%,1.18,1.5%,-41.0,-4.2,0.94,-16.1,1.9,78
Oakland Athletics,4.59,26.9,2.5,6291,2.3,110.1,-107.8,1.01,0.7,1.6,0.7%,85.7%,-85.0%,1.31,0.3%,10.0,0.8,0.94,9.8,1.59,145
Seattle Mariners,4.3,-49.3,-5.0,6192,1.4,107.6,-106.2,1.0,-8.4,9.8,-0.1%,67.9%,-68.0%,1.06,4.9%,-43.4,-4.6,0.93,-93.7,1.57,87
Tampa Bay Rays,5.29,85.9,8.3,6447,7.3,116.2,-108.9,1.02,6.4,0.7,5.6%,75.7%,-70.1%,1.1,1.5%,113.1,11.3,0.94,83.2,2.13,96
Texas Rangers,3.86,-131.9,-13.2,6168,-17.1,93.2,-110.3,0.99,-15.1,-2.1,-3.0%,17.8%,-20.8%,0.32,-5.3%,-141.9,-14.2,0.91,-170.9,1.52,78
Toronto Blue Jays,5.22,93.3,8.9,6279,3.1,103.0,-99.9,0.91,9.8,-6.5,2.5%,63.9%,-61.4%,0.93,-3.4%,96.8,9.0,0.93,100.7,1.22,90
League Average,4.6,-3.0,-0.0,6253,-2.0,105.0,-106.0,0.98,-1.0,-1.0,1%,52%,-51%,0.79,1%,-5.0,-1.0,0.0,-17.0,0.0,84
,4.6,-39.7,-6.5,93802,-23.8,1569.4,-1593.3,0.98,-14.6,-9.7,8.1%,772.5%,-764.5%,0.79,10.0%,-80.4,-11.0,0.94,-250.8,1.6,1255
