Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.6,-11.1,-1.2,6418,3.3,112.3,-109.0,1.01,-2.3,5.6,3.1%,83.6%,-80.5%,1.25,3.9%,-15.1,-1.6,0.94,-29.4,1.67,122
Atlanta Braves,5.85,180.9,17.2,6495,18.8,119.9,-101.0,0.93,17.5,2.9,7.2%,50.2%,-43.0%,0.65,1.3%,183.9,17.2,0.94,210.6,1.28,67
Chicago Cubs,5.06,4.4,0.3,6464,-1.5,104.4,-105.9,0.97,3.2,-4.8,-2.4%,62.3%,-64.7%,0.98,-4.5%,44.1,4.1,0.95,36.7,1.41,110
Cincinnati Reds,4.83,-9.4,-1.0,6517,-1.1,115.9,-117.0,1.03,1.2,-2.3,-2.3%,73.7%,-75.9%,1.1,-2.9%,4.0,0.2,0.94,7.8,1.66,126
Colorado Rockies,4.45,-143.1,-14.1,6241,-7.2,101.0,-108.3,0.96,-10.3,2.8,-1.2%,15.1%,-16.3%,0.24,-1.6%,-86.7,-8.0,0.92,-133.7,1.71,98
Los Angeles Dodgers,5.59,106.9,10.1,6545,10.8,114.6,-103.8,0.97,13.6,-2.5,6.8%,65.7%,-58.9%,0.91,-0.8%,135.5,12.6,0.96,134.3,1.33,148
Miami Marlins,4.11,-51.8,-5.2,6240,-5.7,105.0,-110.7,1.01,-7.2,1.5,-3.2%,70.9%,-74.1%,1.14,1.5%,-98.9,-9.7,0.94,-89.3,1.32,103
Milwaukee Brewers,4.49,-47.1,-4.7,6319,-5.0,105.3,-110.3,1.01,-5.5,0.6,-3.4%,64.4%,-67.9%,1.03,0.1%,-32.2,-3.3,0.95,-67.9,1.29,104
New York Mets,4.43,-13.5,-1.5,6253,-7.1,104.4,-111.5,1.01,-2.4,-4.7,-1.5%,35.2%,-36.7%,0.56,-1.2%,-23.6,-2.5,0.93,-22.8,1.52,106
Philadelphia Phillies,4.91,62.8,5.9,6451,2.9,117.2,-114.3,1.04,4.2,-1.4,0.4%,57.0%,-56.6%,0.85,-1.9%,35.8,3.3,0.95,36.1,1.66,79
Pittsburgh Pirates,4.27,-55.7,-5.5,6299,-6.5,102.4,-108.9,1.0,-8.1,1.6,-3.3%,34.2%,-37.5%,0.57,-1.3%,-69.2,-6.9,0.95,-90.9,1.53,133
San Diego Padres,4.64,63.8,6.0,6454,-5.2,102.0,-107.2,0.96,4.0,-9.5,-3.4%,33.7%,-37.1%,0.54,-8.0%,3.5,0.2,0.95,36.4,1.53,97
San Francisco Giants,4.16,-54.2,-5.4,6247,-5.7,104.1,-109.9,1.01,-8.0,2.4,-2.8%,65.9%,-68.7%,1.06,1.7%,-83.5,-8.4,0.95,-85.6,1.6,179
St. Louis Cardinals,4.44,13.5,1.2,6400,-4.0,108.0,-112.1,1.0,2.2,-6.2,-1.3%,18.7%,-20.0%,0.3,-6.1%,-43.5,-4.4,0.95,5.4,1.91,87
Washington Nationals,4.32,-34.0,-3.4,6324,-2.0,108.4,-110.4,1.02,-7.6,5.6,-1.1%,16.6%,-17.7%,0.27,-0.3%,-49.1,-5.0,0.94,-73.1,1.93,66
League Average,4.68,1.0,-0.0,6378,-1.0,108.0,-109.0,0.99,-0.0,-1.0,-1%,50%,-50%,0.76,-1%,-6.0,-1.0,0.0,-8.0,0.0,108
,4.68,12.5,-1.1,95667,-15.4,1624.8,-1640.3,0.99,-5.5,-10.0,-8.4%,747.3%,-755.8%,0.76,-10.9%,-94.8,-12.1,0.94,-125.3,1.55,1625
