Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.67,-44.4,-4.3,6520,-5.4,113.2,-118.6,1.06,-4.7,-0.4,-2.4%,26.4%,-28.8%,0.42,-3.1%,-39.2,-3.8,0.95,-68.1,1.73,83
Boston Red Sox,5.35,63.1,5.7,6635,0.3,114.4,-114.1,1.02,6.1,-5.8,1.6%,47.6%,-46.1%,0.69,-0.4%,65.9,5.8,0.98,75.3,1.67,69
Chicago White Sox,4.28,-125.3,-12.0,6294,-9.2,103.5,-112.7,1.01,-8.7,-0.4,-2.5%,27.4%,-29.9%,0.44,-1.3%,-109.3,-10.3,0.92,-116.3,1.28,88
Cleveland Indians,5.01,16.3,1.4,6594,1.9,117.6,-115.7,1.03,3.1,-1.2,-0.5%,93.1%,-93.6%,1.39,-2.2%,16.7,1.4,0.96,17.5,1.61,103
Detroit Tigers,5.48,59.7,5.3,6578,4.6,111.8,-107.2,0.97,5.2,-0.4,3.0%,97.8%,-94.9%,1.43,-0.7%,89.9,8.1,0.95,46.3,1.57,65
Kansas City Royals,4.36,-111.0,-10.5,6389,-11.8,98.2,-110.1,0.96,-9.4,-2.9,-2.0%,11.9%,-13.9%,0.2,-5.7%,-88.7,-8.4,0.94,-119.4,1.64,106
Los Angeles Angels of Anaheim,5.07,0.9,-0.1,6474,4.3,109.3,-105.0,0.96,0.7,3.8,3.9%,65.9%,-62.0%,0.95,2.9%,38.9,3.4,0.96,-6.6,1.27,84
Minnesota Twins,4.43,-41.6,-4.1,6379,-8.3,103.0,-111.3,1.01,-7.3,-1.0,-5.1%,46.6%,-51.7%,0.77,-3.2%,-51.0,-5.2,0.96,-86.8,1.19,92
New York Yankees,5.98,145.9,13.4,6761,11.3,116.5,-105.2,0.95,15.0,-3.0,8.2%,80.2%,-71.9%,1.07,-0.8%,175.0,16.0,0.98,178.2,1.21,86
Oakland Athletics,4.57,27.4,2.4,6518,-5.8,112.5,-118.3,1.04,-1.5,-4.1,-4.8%,43.3%,-48.1%,0.69,-5.4%,-30.5,-3.1,0.97,-14.8,1.87,57
Seattle Mariners,4.9,24.3,2.2,6409,5.3,110.4,-105.2,0.97,2.8,2.7,2.2%,88.9%,-86.8%,1.32,0.1%,29.8,2.7,0.97,11.2,1.28,85
Tampa Bay Devil Rays,4.83,25.9,2.2,6561,-1.5,109.5,-111.0,0.98,0.4,-1.9,0.7%,21.7%,-21.0%,0.31,2.6%,-3.2,-0.6,0.95,4.7,1.52,69
Texas Rangers,5.04,-36.1,-3.5,6415,0.4,109.9,-109.6,1.0,-2.6,3.0,-1.2%,16.8%,-18.0%,0.27,-2.7%,29.1,2.6,0.95,-20.6,1.43,79
Toronto Blue Jays,4.65,-37.5,-3.7,6356,-4.2,108.2,-112.3,1.01,-4.4,0.3,-2.1%,36.9%,-39.1%,0.58,-0.5%,-37.3,-3.7,0.94,-67.9,1.53,115
League Average,4.9,-2.0,-0.0,6492,-1.0,110.0,-111.0,1.0,-0.0,-1.0,-0%,50%,-50%,0.76,0%,6.0,0.0,0.0,-12.0,0.0,84
,4.9,-32.4,-5.4,90883,-18.0,1538.0,-1556.1,1.0,-5.4,-12.7,-1.1%,704.4%,-705.6%,0.76,1.4%,86.3,4.9,0.96,-167.2,1.48,1181
