Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.4,-32.2,-3.4,6340,0.1,105.4,-105.4,0.96,-1.1,1.2,-0.1%,101.3%,-101.4%,1.54,0.6%,-20.1,-2.1,0.92,-21.3,1.57,71
Boston Red Sox,4.53,-34.0,-3.6,6377,-2.1,104.2,-106.3,0.97,-1.3,-0.9,0.1%,37.3%,-37.1%,0.57,-2.0%,3.4,0.0,0.93,-20.4,1.15,92
Chicago White Sox,4.62,-22.1,-2.4,6367,0.3,109.6,-109.4,0.99,0.7,-0.4,-2.2%,105.8%,-108.0%,1.63,-1.6%,23.9,2.2,0.93,8.5,1.37,58
Cleveland Indians,4.12,5.3,0.4,6425,-2.6,103.7,-106.4,0.99,-2.9,0.3,0.9%,51.5%,-50.6%,0.79,1.5%,-28.1,-3.0,0.97,-37.0,1.81,69
Detroit Tigers,4.48,19.9,1.6,6297,2.4,112.8,-110.4,1.02,2.6,-0.3,2.4%,102.4%,-100.0%,1.54,-0.4%,8.5,0.5,0.95,25.9,1.85,62
Kansas City Royals,4.17,-49.8,-5.1,6425,-8.4,108.2,-116.6,1.04,-4.9,-3.2,-2.4%,22.9%,-25.3%,0.37,-4.9%,-48.4,-4.8,0.93,-46.1,1.57,52
Los Angeles Angels of Anaheim,4.73,110.8,10.7,6399,8.9,103.9,-95.0,0.91,8.9,0.9,6.4%,70.7%,-64.4%,1.02,0.7%,84.7,8.4,0.95,90.0,1.42,67
Minnesota Twins,4.33,-8.8,-1.1,6459,-4.3,109.6,-113.9,1.05,-0.6,-3.5,-0.9%,15.1%,-16.0%,0.24,-4.3%,-12.5,-1.5,0.97,-6.9,1.41,54
New York Yankees,4.96,91.1,8.9,6446,8.6,116.6,-108.0,1.01,11.4,-2.9,9.5%,102.0%,-92.5%,1.45,-0.3%,83.8,8.0,0.96,128.3,1.13,134
Oakland Athletics,4.4,-2.5,-0.4,6426,1.1,104.9,-103.7,0.96,1.0,0.2,6.6%,84.1%,-77.5%,1.21,4.8%,12.4,1.0,0.94,21.3,1.57,92
Seattle Mariners,3.82,-79.5,-8.0,6278,-10.6,96.6,-107.2,1.0,-10.9,0.2,-2.5%,23.1%,-25.6%,0.39,-1.1%,-76.0,-8.0,0.93,-110.6,1.69,72
Tampa Bay Rays,4.3,1.1,0.0,6367,-5.0,106.7,-111.7,1.03,-1.6,-3.3,-6.4%,80.6%,-86.9%,1.32,-3.7%,-4.3,-0.6,0.95,-28.4,1.69,135
Texas Rangers,4.99,34.5,3.2,6446,3.1,103.6,-100.5,0.93,6.3,-3.0,3.6%,81.4%,-77.8%,1.2,-0.9%,81.5,7.5,0.95,80.5,1.45,81
Toronto Blue Jays,4.42,-54.5,-5.6,6329,-4.5,103.4,-107.9,0.98,-1.2,-3.3,0.1%,41.9%,-41.8%,0.63,-0.6%,-9.1,-1.1,0.92,-23.7,1.46,86
League Average,4.45,-1.0,-0.0,6384,-1.0,106.0,-107.0,0.99,0.0,-1.0,1%,66%,-65%,0.99,0%,7.0,0.0,0.0,4.0,0.0,80
,4.45,-20.7,-4.6,89381,-13.0,1489.1,-1502.2,0.99,6.5,-19.6,15.3%,920.1%,-904.9%,0.99,1.5%,99.7,6.5,0.94,60.0,1.49,1125
