Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.86,-1.7,-0.4,6397,-0.8,111.1,-111.9,1.02,0.5,-1.3,-0.5%,47.6%,-48.1%,0.73,-2.4%,16.5,1.3,0.94,-6.9,1.39,110
Boston Red Sox,5.22,62.6,5.7,6617,4.5,114.2,-109.7,0.99,8.0,-3.4,4.6%,90.7%,-86.1%,1.3,-1.1%,61.4,5.3,0.98,90.8,1.42,55
Chicago White Sox,4.98,4.5,0.3,6417,-2.2,108.4,-110.6,0.98,2.3,-4.6,-4.5%,118.3%,-122.8%,1.81,-3.9%,26.5,2.3,0.93,24.9,1.38,64
Cleveland Indians,4.97,34.0,3.1,6496,0.6,108.1,-107.5,0.97,2.9,-2.2,-3.6%,27.8%,-31.4%,0.46,-7.6%,48.1,4.4,0.97,21.6,1.58,93
Detroit Tigers,5.07,33.8,3.1,6519,2.4,114.1,-111.7,0.99,6.5,-4.1,-0.3%,38.0%,-38.4%,0.57,-3.7%,45.3,4.1,0.95,65.1,1.37,59
Kansas City Royals,4.27,-76.6,-7.4,6347,-8.5,98.3,-106.8,0.96,-8.6,-0.3,-4.0%,22.3%,-26.3%,0.39,-5.4%,-74.0,-7.2,0.94,-110.9,1.3,63
Los Angeles Angels of Anaheim,4.72,-50.8,-5.0,6408,4.5,115.1,-110.6,1.03,-1.8,6.2,0.4%,53.6%,-53.2%,0.82,2.5%,-0.2,-0.2,0.95,-30.4,2.01,66
Minnesota Twins,5.09,23.0,2.1,6569,4.2,114.7,-110.5,1.02,2.6,1.5,-3.4%,122.7%,-126.1%,1.87,-3.4%,73.1,6.9,0.97,17.6,1.65,89
New York Yankees,4.87,1.4,-0.1,6495,-0.1,110.0,-110.0,0.99,3.3,-3.4,-1.7%,59.7%,-61.4%,0.91,-3.8%,18.3,1.5,0.96,26.5,1.16,90
Oakland Athletics,4.01,-91.6,-8.8,6316,-10.9,105.2,-116.1,1.06,-10.3,0.0,-5.8%,54.2%,-60.0%,0.92,-1.3%,-96.6,-9.6,0.96,-115.6,1.83,79
Seattle Mariners,4.14,-79.7,-7.7,6368,-9.3,106.6,-115.8,1.04,-8.2,-0.7,-1.8%,16.8%,-18.6%,0.28,-2.4%,-82.3,-8.2,0.95,-96.8,1.25,92
Tampa Bay Rays,4.78,6.9,0.6,6590,2.4,116.4,-114.0,1.03,1.9,0.4,0.3%,69.0%,-68.7%,1.03,-0.1%,8.5,0.7,0.96,19.8,1.58,113
Texas Rangers,5.56,121.2,11.3,6686,9.5,117.7,-108.2,0.97,12.3,-2.5,3.8%,51.4%,-47.7%,0.71,-0.2%,133.6,12.4,0.97,130.6,1.51,100
Toronto Blue Jays,4.41,-25.3,-2.5,6373,-7.6,108.8,-116.4,1.05,-6.1,-1.1,-4.6%,40.5%,-45.1%,0.67,-3.3%,-42.5,-4.2,0.96,-69.2,1.53,77
League Average,4.78,-3.0,-0.0,6471,-1.0,111.0,-111.0,1.01,0.0,-1.0,-1%,58%,-60%,0.89,-2%,10.0,1.0,0.0,-2.0,0.0,82
,4.78,-38.3,-5.8,90598,-11.3,1548.6,-1559.9,1.01,5.4,-16.6,-20.9%,812.8%,-833.8%,0.89,-24.4%,135.8,9.5,0.96,-33.1,1.5,1150
