Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.98,58.8,5.7,6347,10.4,110.2,-99.8,0.94,3.2,7.9,7.2%,71.5%,-64.4%,1.01,4.8%,72.6,7.2,0.94,26.0,1.67,118
Boston Red Sox,4.77,-0.1,-0.2,6391,-2.7,109.1,-111.8,1.01,0.1,-2.8,0.5%,44.0%,-43.5%,0.66,-0.3%,8.4,0.7,0.95,-7.8,1.55,130
Chicago White Sox,3.96,-142.0,-14.2,6150,-15.0,97.5,-112.5,1.02,-13.6,-1.1,-2.5%,18.2%,-20.7%,0.31,-2.5%,-131.3,-12.9,0.92,-162.2,1.76,91
Cleveland Guardians,4.09,-39.4,-4.1,6365,-5.7,113.7,-119.4,1.11,-7.7,2.5,-3.3%,47.5%,-50.8%,0.78,0.0%,-83.9,-8.6,0.96,-91.7,1.8,86
Detroit Tigers,4.08,-102.7,-10.2,6260,-10.5,98.7,-109.3,0.99,-10.6,-0.1,-4.0%,26.8%,-30.8%,0.46,-1.9%,-102.1,-10.1,0.94,-124.8,1.4,157
Houston Astros,5.1,82.3,7.9,6482,3.2,110.6,-107.4,0.97,5.4,-2.1,4.0%,111.3%,-107.3%,1.61,-0.9%,80.9,7.6,0.95,66.4,1.63,72
Kansas City Royals,4.17,-71.1,-7.1,6271,-10.6,100.7,-111.3,1.02,-6.1,-4.3,-2.0%,7.3%,-9.3%,0.13,-11.5%,-66.7,-6.7,0.93,-82.3,1.74,84
Los Angeles Angels,4.56,-6.0,-0.9,6323,-3.3,111.4,-114.7,1.03,-1.7,-1.5,-0.6%,48.9%,-49.5%,0.75,-1.1%,-24.5,-2.6,0.94,-15.6,1.61,99
Minnesota Twins,4.8,44.4,4.3,6405,-4.4,112.6,-117.0,1.06,0.3,-4.5,-3.0%,58.6%,-61.7%,0.92,-3.4%,15.0,1.3,0.94,18.2,1.59,162
New York Yankees,4.15,-74.4,-7.5,6175,-7.5,96.1,-103.5,0.94,-6.2,-1.8,-3.3%,39.0%,-42.3%,0.64,-1.8%,-83.3,-8.4,0.92,-79.0,1.75,66
Oakland Athletics,3.61,-54.4,-5.5,6222,-14.5,97.1,-111.5,1.02,-11.5,-2.8,-0.3%,7.0%,-7.3%,0.11,-1.1%,-140.9,-14.7,0.93,-134.7,1.49,179
Seattle Mariners,4.68,56.5,5.5,6438,-2.1,113.3,-115.4,1.05,1.4,-3.4,-2.9%,82.8%,-85.7%,1.29,-3.3%,19.3,1.8,0.97,16.4,1.58,131
Tampa Bay Rays,5.31,111.4,10.8,6446,11.1,114.3,-103.2,0.95,11.2,0.4,6.2%,71.5%,-65.3%,1.0,-0.4%,128.2,12.5,0.95,123.8,2.14,95
Texas Rangers,5.44,101.8,9.8,6493,5.8,106.5,-100.8,0.92,10.4,-4.1,5.3%,99.5%,-94.2%,1.42,-2.7%,129.1,12.2,0.96,124.1,1.1,60
Toronto Blue Jays,4.6,48.4,4.6,6432,-4.6,110.4,-115.0,1.03,0.8,-5.2,-3.5%,69.7%,-73.2%,1.09,-3.6%,-7.6,-0.9,0.96,7.2,1.84,95
League Average,4.55,1.0,-0.0,6347,-3.0,107.0,-110.0,1.0,-2.0,-2.0,-0%,54%,-54%,0.82,0%,-12.0,-1.0,0.0,-21.0,0.0,108
,4.55,13.5,-1.0,95200,-50.4,1602.1,-1652.6,1.0,-24.7,-25.6,-2.3%,803.6%,-806.0%,0.82,0.6%,-186.9,-21.4,0.94,-316.1,1.63,1625
