Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Anaheim Angels,4.27,-71.1,-6.8,6476,-10.0,106.6,-116.6,1.03,-3.9,-5.8,-4.0%,38.6%,-42.6%,0.62,-5.3%,-93.3,-8.9,0.94,-51.3,1.52,102
Baltimore Orioles,4.24,-84.0,-8.0,6419,-10.0,101.1,-111.1,1.01,-9.8,-0.1,-2.0%,22.8%,-24.8%,0.38,-2.5%,-85.3,-8.4,0.94,-111.5,1.53,69
Boston Red Sox,4.8,8.9,0.6,6424,-2.3,111.2,-113.5,1.01,-1.0,-1.3,-1.5%,87.4%,-88.9%,1.32,-0.4%,-19.2,-2.0,0.94,-15.4,1.9,88
Chicago White Sox,4.93,7.0,0.6,6421,2.0,108.2,-106.2,0.96,2.2,-0.2,-0.6%,28.3%,-28.9%,0.43,-2.3%,2.5,0.1,0.92,12.2,1.67,88
Cleveland Indians,5.54,96.4,8.8,6578,8.6,116.4,-107.9,0.97,8.9,-0.1,8.9%,87.0%,-78.0%,1.19,1.8%,108.9,9.9,0.95,101.1,1.43,90
Detroit Tigers,4.47,-14.6,-1.5,6434,-3.9,106.1,-110.0,0.99,-4.4,0.5,-0.2%,20.7%,-20.9%,0.32,-1.7%,-43.1,-4.3,0.94,-55.5,1.37,77
Kansas City Royals,4.5,-131.9,-12.6,6417,-10.7,99.4,-110.1,0.97,-7.1,-4.0,-1.3%,11.1%,-12.4%,0.18,-4.6%,-85.9,-8.1,0.93,-99.7,1.33,97
Minnesota Twins,4.76,5.9,0.4,6496,3.1,115.6,-112.5,1.01,1.3,1.8,0.8%,82.6%,-81.8%,1.22,0.2%,-15.1,-1.5,0.95,0.9,1.56,106
New York Yankees,4.99,0.4,-0.1,6514,1.2,110.5,-109.4,0.99,5.4,-4.2,2.2%,73.5%,-71.3%,1.08,-1.8%,22.0,1.9,0.94,30.7,1.63,60
Oakland Athletics,5.46,74.8,6.7,6558,8.5,116.6,-108.1,0.98,7.0,1.6,4.2%,58.5%,-54.2%,0.81,2.5%,106.4,9.6,0.95,80.8,1.27,114
Seattle Mariners,5.72,163.6,15.1,6754,17.0,118.4,-101.4,0.95,14.9,3.0,4.3%,23.8%,-19.4%,0.31,8.6%,167.1,15.9,0.98,158.9,1.38,100
Tampa Bay Devil Rays,4.15,-89.7,-8.6,6334,-8.7,99.9,-108.5,0.96,-9.3,0.3,-1.1%,8.0%,-9.0%,0.13,-6.0%,-102.6,-10.0,0.94,-118.3,1.47,67
Texas Rangers,5.49,73.0,6.6,6601,4.2,114.7,-110.5,0.97,12.8,-8.5,0.4%,16.3%,-15.8%,0.23,-2.3%,90.0,8.0,0.95,135.0,1.43,96
Toronto Blue Jays,4.73,-44.3,-4.3,6583,-6.3,109.9,-116.2,1.01,-2.6,-3.6,-3.1%,36.2%,-39.3%,0.56,-4.2%,-34.8,-3.4,0.93,-26.4,2.01,112
League Average,4.86,-0.0,-0.0,6501,-1.0,110.0,-110.0,0.99,1.0,-2.0,1%,42%,-42%,0.63,-0%,1.0,-0.0,0.0,3.0,0.0,90
,4.86,-5.5,-3.2,91009,-7.4,1534.6,-1542.0,0.99,14.4,-21.9,7.1%,594.6%,-587.5%,0.63,-2.2%,17.6,-1.3,0.94,41.4,1.53,1266
