Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,3.78,-67.7,-6.8,6312,-7.6,106.3,-113.8,1.05,-7.2,0.0,-1.3%,7.1%,-8.4%,0.12,-7.2%,-102.8,-10.3,0.95,-81.9,1.93,61
Boston Red Sox,5.05,68.6,6.4,6525,7.4,116.4,-109.0,1.0,8.6,-1.2,2.5%,71.7%,-69.2%,1.04,-2.8%,82.5,7.6,0.96,86.3,1.47,102
Chicago White Sox,4.64,5.7,0.4,6449,4.3,112.4,-108.1,1.01,3.9,0.3,2.5%,67.3%,-64.8%,1.0,0.0%,28.8,2.6,0.95,30.0,1.2,76
Cleveland Indians,3.99,-19.0,-2.1,6404,-6.1,103.2,-109.2,1.0,-3.3,-2.8,-0.9%,16.9%,-17.8%,0.27,-2.6%,-48.0,-5.0,0.96,-41.7,1.82,70
Detroit Tigers,4.64,17.4,1.5,6497,3.2,118.2,-115.0,1.05,3.6,-0.6,1.2%,58.1%,-56.9%,0.86,-0.4%,32.2,2.8,0.97,35.3,1.73,108
Kansas City Royals,4.17,-1.9,-0.3,6459,-5.7,110.0,-115.7,1.06,-3.2,-2.2,-0.6%,19.5%,-20.1%,0.3,-0.7%,-38.9,-3.9,0.96,-34.5,1.45,56
Los Angeles Angels of Anaheim,4.2,-46.4,-4.7,6316,-6.7,98.5,-105.2,0.96,-3.7,-3.2,-2.3%,46.2%,-48.5%,0.74,-1.6%,-27.1,-2.9,0.94,-44.4,1.51,76
Minnesota Twins,4.82,76.6,7.2,6453,8.2,112.0,-103.8,0.98,7.2,1.1,8.8%,87.2%,-78.4%,1.24,2.8%,76.9,7.4,0.98,78.2,1.5,74
New York Yankees,5.3,69.0,6.6,6619,9.1,113.6,-104.5,0.96,12.7,-3.2,7.1%,76.2%,-69.1%,1.06,-0.8%,130.2,12.1,0.99,126.3,1.34,98
Oakland Athletics,4.09,-52.3,-5.2,6419,-6.4,101.0,-107.4,1.0,-3.4,-3.0,-3.5%,45.1%,-48.6%,0.75,-1.8%,-40.9,-4.1,0.98,-31.6,1.32,89
Seattle Mariners,3.17,-144.0,-14.2,6259,-18.3,96.2,-114.5,1.06,-17.6,0.4,-2.8%,19.4%,-22.2%,0.35,-3.0%,-183.2,-18.8,0.94,-189.3,2.12,51
Tampa Bay Rays,4.95,53.0,5.1,6627,7.4,115.5,-108.1,1.01,6.2,1.1,5.9%,86.2%,-80.3%,1.26,1.1%,104.7,10.3,0.98,80.4,1.16,147
Texas Rangers,4.86,-18.0,-2.1,6593,3.1,117.0,-113.8,1.04,4.0,-1.0,2.5%,69.9%,-67.4%,1.02,0.9%,47.4,4.1,0.96,39.4,2.11,74
Toronto Blue Jays,4.66,21.8,2.0,6223,2.4,101.4,-99.0,0.9,5.4,-2.8,0.5%,39.1%,-38.6%,0.58,-1.0%,36.3,3.3,0.91,54.9,1.64,38
League Average,4.45,-3.0,-0.0,6440,-0.0,109.0,-109.0,1.01,1.0,-1.0,1%,51%,-49%,0.76,1%,7.0,0.0,0.0,8.0,0.0,80
,4.45,-37.2,-6.2,90155,-5.6,1521.6,-1527.3,1.01,13.3,-19.0,19.7%,709.9%,-690.1%,0.76,12.1%,97.9,5.3,0.96,107.4,1.54,1120
