Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Anaheim Angels,4.54,-22.2,-2.2,6381,-4.1,101.2,-105.3,0.97,-3.7,-0.6,-0.7%,33.9%,-34.6%,0.53,0.4%,-32.5,-3.3,0.94,-44.7,1.2,99
Baltimore Orioles,4.56,-67.6,-6.5,6435,-6.5,106.3,-112.8,1.01,-6.1,-0.3,0.0%,26.9%,-26.9%,0.41,0.7%,-44.9,-4.4,0.94,-72.5,1.14,61
Boston Red Sox,5.93,155.0,14.3,6742,13.5,124.4,-110.9,1.0,17.1,-3.7,14.0%,125.4%,-111.4%,1.69,-2.2%,160.0,14.5,0.97,165.1,1.61,91
Chicago White Sox,4.88,7.0,0.5,6322,-3.1,103.0,-106.1,0.94,2.2,-5.5,-2.8%,78.9%,-81.7%,1.2,-3.2%,8.2,0.6,0.92,29.6,1.61,105
Cleveland Indians,4.31,-65.5,-6.3,6418,-10.2,108.4,-118.6,1.05,-8.5,-1.3,-2.2%,15.1%,-17.4%,0.25,-4.6%,-86.0,-8.4,0.93,-102.2,2.04,82
Detroit Tigers,3.65,-131.8,-12.6,6312,-22.7,93.1,-115.9,1.01,-14.8,-7.7,-2.7%,3.8%,-6.5%,0.09,-25.1%,-188.9,-18.7,0.91,-178.3,1.6,103
Kansas City Royals,5.16,-49.5,-4.8,6492,3.4,103.5,-100.1,0.92,1.7,2.0,1.6%,85.3%,-83.7%,1.28,-0.4%,33.2,2.8,0.95,7.1,1.1,74
Minnesota Twins,4.94,17.4,1.5,6565,2.8,113.2,-110.5,0.99,3.0,-0.2,2.0%,94.9%,-92.9%,1.4,0.0%,11.5,0.9,0.96,23.3,1.4,106
New York Yankees,5.38,130.0,12.0,6651,9.4,112.1,-102.6,0.92,11.4,-1.1,6.0%,66.7%,-60.7%,0.91,0.0%,108.7,10.1,0.98,135.6,1.44,83
Oakland Athletics,4.74,-28.1,-2.8,6304,0.6,107.3,-106.7,1.0,-1.9,2.6,0.8%,97.2%,-96.4%,1.5,1.5%,-1.4,-0.3,0.94,-27.6,1.24,102
Seattle Mariners,4.91,40.8,3.7,6492,2.3,102.1,-99.8,0.92,0.3,2.2,-1.0%,79.1%,-80.1%,1.21,-0.3%,36.6,3.3,0.97,-12.6,1.12,60
Tampa Bay Devil Rays,4.41,-42.7,-4.2,6489,-8.6,109.7,-118.3,1.05,-5.8,-2.3,-0.7%,14.5%,-15.2%,0.24,-0.5%,-55.0,-5.5,0.93,-69.4,2.06,124
Texas Rangers,5.1,-52.1,-5.1,6460,-2.0,103.1,-105.0,0.92,3.5,-5.7,-0.4%,19.4%,-19.8%,0.29,-1.4%,6.8,0.4,0.93,19.2,1.74,68
Toronto Blue Jays,5.52,62.7,5.7,6508,8.5,110.7,-102.2,0.92,8.5,0.8,3.0%,43.7%,-40.7%,0.6,1.3%,105.4,9.5,0.95,87.7,1.48,108
League Average,4.86,-3.0,-0.0,6469,-1.0,107.0,-108.0,0.97,0.0,-2.0,1%,56%,-55%,0.83,1%,4.0,0.0,0.0,-3.0,0.0,90
,4.86,-46.6,-6.8,90571,-16.7,1498.1,-1514.9,0.97,6.8,-24.0,16.7%,784.8%,-768.1%,0.83,12.4%,61.8,1.6,0.94,-39.9,1.51,1266
