Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.51,-14.9,-1.7,6377,7.4,112.1,-104.7,0.99,3.9,3.6,5.5%,79.2%,-73.7%,1.16,2.3%,64.4,6.2,0.95,53.0,1.32,223
Atlanta Braves,3.96,-88.3,-9.1,6353,-3.4,111.3,-114.7,1.06,-4.0,0.9,-5.9%,88.6%,-94.5%,1.45,-1.6%,-30.1,-3.2,0.94,-26.0,1.33,235
Chicago Cubs,4.04,-48.5,-5.1,6302,0.5,113.1,-112.7,1.06,-1.6,2.1,0.3%,21.4%,-21.1%,0.33,2.2%,-12.0,-1.4,0.96,-15.7,1.25,235
Cincinnati Reds,4.54,-23.7,-2.6,6556,4.0,121.9,-117.9,1.09,4.3,-0.6,1.2%,52.4%,-51.2%,0.79,-1.5%,53.8,5.0,0.96,60.5,1.4,213
Colorado Rockies,4.54,-101.1,-10.4,6524,-3.9,109.9,-113.8,1.03,1.1,-4.8,-1.1%,42.4%,-43.5%,0.66,-2.8%,12.5,0.9,0.97,18.1,1.35,213
Florida Marlins,3.86,-56.4,-5.8,6455,-5.4,112.0,-117.4,1.09,-0.7,-4.3,-0.5%,40.5%,-41.0%,0.65,0.4%,-51.2,-5.3,0.96,-5.9,1.42,226
Houston Astros,3.8,-82.3,-8.4,6392,-8.5,104.3,-112.8,1.05,-5.7,-2.3,0.1%,11.9%,-11.8%,0.19,1.4%,-45.1,-4.8,0.97,-55.5,1.34,251
Los Angeles Dodgers,4.0,-32.7,-3.6,6342,-2.6,102.5,-105.1,1.01,-0.3,-2.3,-1.5%,26.1%,-27.6%,0.43,-3.3%,1.1,-0.2,0.98,9.1,1.33,204
Milwaukee Brewers,4.45,10.5,0.7,6323,10.2,107.8,-97.6,0.94,8.2,2.6,8.2%,72.9%,-64.7%,1.05,3.1%,57.0,5.2,0.95,78.9,1.13,221
New York Mets,4.43,35.7,3.4,6581,6.1,117.6,-111.5,1.07,3.2,2.5,0.9%,35.0%,-34.0%,0.54,-0.7%,60.9,5.9,0.99,57.2,1.36,267
Philadelphia Phillies,4.4,-35.2,-3.7,6464,2.2,107.7,-105.5,0.99,3.5,-1.3,0.3%,53.5%,-53.2%,0.85,-2.1%,46.6,4.4,0.97,44.0,1.29,229
Pittsburgh Pirates,3.77,-69.6,-7.2,6291,-3.0,102.7,-105.7,1.0,-6.4,3.4,-2.6%,45.2%,-47.8%,0.76,-0.4%,-43.4,-4.8,0.95,-63.9,1.22,249
San Diego Padres,3.66,-96.5,-9.9,6376,-13.0,100.4,-113.3,1.07,-8.9,-3.3,-3.5%,20.3%,-23.9%,0.37,-5.2%,-54.1,-5.9,0.96,-80.7,1.32,237
San Francisco Giants,3.52,-59.6,-6.2,6332,-5.5,106.7,-112.2,1.06,-6.0,0.9,-6.4%,81.9%,-88.3%,1.38,-1.1%,-76.2,-8.2,0.95,-53.7,1.44,217
St. Louis Cardinals,4.7,93.5,9.1,6422,14.8,121.9,-107.1,1.03,8.8,5.5,13.4%,102.6%,-89.3%,1.43,4.1%,104.9,10.3,0.97,91.8,1.41,224
Washington Nationals,3.88,-84.9,-8.7,6317,-5.3,111.3,-116.6,1.11,-5.8,1.1,-2.0%,32.3%,-34.3%,0.55,-0.3%,-40.0,-4.2,0.95,-39.9,1.47,204
League Average,4.13,-41.0,-4.0,6400,-0.0,110.0,-111.0,1.04,-0.0,0.0,0%,50%,-50%,0.79,0%,3.0,-0.0,0.0,4.0,0.0,228
,4.13,-654.0,-69.4,102407,-5.2,1763.2,-1768.5,1.04,-6.3,1.4,6.4%,806.2%,-800.0%,0.79,6.9%,49.3,-0.1,0.96,71.4,1.33,3648
