Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.37,-28.8,-3.0,6348,-2.3,109.9,-112.2,1.02,-1.6,-0.6,-1.8%,25.8%,-27.6%,0.42,-1.8%,-25.5,-2.6,0.93,-15.8,1.63,57
Boston Red Sox,5.4,132.6,12.8,6644,5.8,115.7,-109.9,0.99,13.7,-7.8,4.0%,90.8%,-86.8%,1.3,-5.3%,137.2,12.8,0.98,147.9,1.22,79
Chicago White Sox,4.04,-90.9,-9.1,6381,-10.1,105.1,-115.2,1.04,-7.5,-2.3,-5.1%,46.1%,-51.1%,0.76,-2.9%,-92.7,-9.1,0.95,-82.6,1.22,62
Cleveland Indians,4.35,10.6,0.9,6365,-1.8,108.1,-109.8,1.02,-1.6,-0.2,-4.2%,75.6%,-79.8%,1.23,-1.9%,2.0,0.0,0.94,-17.0,1.6,68
Detroit Tigers,4.86,74.8,7.1,6388,7.0,111.7,-104.7,0.97,7.7,-0.4,3.7%,81.9%,-78.3%,1.21,-1.4%,71.0,6.6,0.98,79.0,1.45,76
Kansas City Royals,4.51,33.0,3.1,6575,-3.5,115.9,-119.3,1.08,0.8,-4.0,-1.4%,31.3%,-32.7%,0.5,-1.5%,7.7,0.6,0.96,7.3,1.77,33
Los Angeles Angels of Anaheim,4.12,19.5,1.8,6361,-3.2,105.0,-108.2,0.99,-0.8,-2.5,-3.8%,85.4%,-89.2%,1.35,-2.5%,-24.6,-2.6,0.93,-6.8,1.47,76
Minnesota Twins,3.82,-127.0,-12.7,6245,-8.8,99.4,-108.3,1.0,-10.9,2.1,-2.4%,19.9%,-22.3%,0.34,-2.2%,-90.9,-9.2,0.95,-119.8,1.37,83
New York Yankees,5.35,77.4,7.5,6572,5.1,109.4,-104.3,0.96,10.4,-5.0,3.7%,71.0%,-67.3%,1.04,-2.8%,130.2,12.2,0.96,125.5,1.42,59
Oakland Athletics,3.98,-82.4,-8.2,6349,-11.6,98.5,-110.1,1.01,-9.4,-2.2,-5.6%,31.7%,-37.2%,0.56,-5.4%,-68.2,-7.0,0.95,-95.6,1.83,65
Seattle Mariners,3.43,-106.7,-10.6,6207,-12.6,94.8,-107.5,1.02,-14.1,1.7,-5.1%,35.6%,-40.7%,0.65,-0.9%,-127.0,-13.4,0.94,-147.9,1.96,45
Tampa Bay Rays,4.36,41.9,3.9,6477,3.7,106.8,-103.0,0.95,3.0,1.0,4.4%,88.4%,-84.0%,1.28,1.7%,10.8,0.8,0.96,33.6,1.61,113
Texas Rangers,5.28,71.8,6.9,6544,8.2,104.7,-96.5,0.89,12.4,-3.3,7.4%,90.2%,-82.8%,1.28,-1.8%,120.7,11.2,0.95,142.8,1.72,61
Toronto Blue Jays,4.59,-38.9,-4.1,6476,0.7,113.1,-112.4,1.03,0.1,0.6,-1.2%,40.9%,-42.2%,0.63,-2.0%,1.9,-0.1,0.94,-13.7,1.41,59
League Average,4.46,-1.0,-0.0,6424,-2.0,107.0,-109.0,1.0,0.0,-2.0,-1%,58%,-59%,0.9,-1%,4.0,0.0,0.0,3.0,0.0,67
,4.46,-13.1,-3.9,89932,-23.4,1498.0,-1521.5,1.0,2.2,-25.7,-7.2%,814.6%,-822.0%,0.9,-11.3%,52.7,0.3,0.95,36.9,1.53,936
