Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.16,-25.3,-2.7,6258,-2.6,107.2,-109.8,1.02,-1.3,-1.2,-1.8%,40.4%,-42.2%,0.65,-2.5%,-23.3,-2.5,0.94,-9.0,1.93,80
Boston Red Sox,4.54,15.4,1.4,6282,-3.0,106.3,-109.3,1.0,-0.9,-2.1,-2.1%,36.9%,-39.0%,0.59,-2.8%,18.0,1.6,0.97,-2.1,1.75,78
Chicago White Sox,4.23,-29.8,-3.2,6287,-2.3,106.3,-108.6,1.01,-6.9,4.6,-1.3%,49.8%,-51.1%,0.79,1.3%,-22.5,-2.5,0.95,-67.6,1.58,64
Cleveland Guardians,4.31,15.7,1.4,6388,0.8,109.8,-109.0,1.03,-3.1,3.9,0.1%,59.7%,-59.5%,0.94,2.0%,-0.4,-0.3,0.97,-29.5,1.58,88
Detroit Tigers,3.44,-111.2,-11.5,6004,-9.7,93.8,-103.5,0.98,-13.7,3.8,-2.1%,12.4%,-14.5%,0.22,-3.3%,-118.0,-12.3,0.92,-152.4,1.34,77
Houston Astros,4.55,76.7,7.5,6231,4.9,99.3,-94.5,0.91,4.0,1.3,2.6%,37.3%,-34.7%,0.56,2.3%,55.8,5.4,0.94,55.1,1.63,76
Kansas City Royals,3.95,-51.4,-5.4,6228,-8.2,98.4,-106.6,0.99,-5.8,-2.5,-2.3%,12.8%,-15.1%,0.23,-7.9%,-54.1,-5.6,0.94,-68.8,1.33,79
Los Angeles Angels,3.85,-54.1,-5.9,6150,-11.2,92.1,-103.3,0.95,-5.8,-5.9,-1.0%,28.8%,-29.8%,0.46,1.4%,-78.5,-8.3,0.92,-60.1,1.48,100
Minnesota Twins,4.3,52.4,5.2,6238,-3.6,103.6,-107.2,0.99,0.8,-4.4,-0.1%,59.5%,-59.7%,0.92,-0.9%,10.3,0.9,0.95,14.7,1.55,104
New York Yankees,4.98,94.9,9.3,6380,4.8,120.9,-116.1,1.08,8.4,-3.9,3.2%,46.1%,-42.9%,0.68,-0.3%,108.5,10.6,0.96,111.4,2.2,75
Oakland Athletics,3.51,-120.8,-12.6,6047,-12.6,89.7,-102.3,0.95,-13.3,0.1,-2.4%,13.2%,-15.6%,0.24,-4.5%,-109.3,-11.8,0.91,-134.7,1.48,150
Seattle Mariners,4.26,51.2,5.1,6321,1.2,113.6,-112.5,1.07,0.0,1.1,-0.6%,50.0%,-50.6%,0.8,-0.9%,16.8,1.5,0.95,18.4,1.88,101
Tampa Bay Rays,4.11,11.5,1.0,6224,-4.6,101.7,-106.3,1.01,-2.7,-1.8,-1.7%,58.5%,-60.2%,0.96,-0.1%,-17.9,-2.0,0.95,-25.6,2.23,100
Texas Rangers,4.36,-20.3,-2.2,6288,-3.3,107.1,-110.4,1.04,-1.7,-1.5,-0.2%,26.9%,-27.1%,0.43,-0.3%,9.6,0.9,0.93,-0.1,1.67,124
Toronto Blue Jays,4.78,119.7,12.2,6339,6.9,108.5,-101.6,0.96,6.7,0.5,4.0%,64.3%,-60.3%,0.95,0.1%,88.2,9.0,0.96,76.1,1.35,89
League Average,4.22,2.0,-0.0,6244,-3.0,104.0,-107.0,1.0,-2.0,-0.0,-0%,40%,-40%,0.63,0%,-8.0,-1.0,0.0,-18.0,0.0,92
,4.22,24.5,-0.3,93665,-42.4,1558.5,-1601.1,1.0,-35.4,-7.1,-5.6%,596.6%,-602.4%,0.63,3.8%,-116.9,-15.3,0.95,-274.2,1.66,1385
