Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.19,-104.9,-10.4,6310,-10.5,102.3,-112.9,1.02,-7.4,-3.0,-1.1%,16.1%,-17.2%,0.26,-2.8%,-68.2,-6.9,0.95,-93.7,1.18,293
Atlanta Braves,4.91,-22.0,-2.5,6221,0.2,106.4,-106.2,0.99,2.9,-2.7,1.2%,76.5%,-75.3%,1.17,-0.5%,51.8,4.7,0.94,38.3,1.22,234
Chicago Cubs,4.35,-57.0,-5.8,6188,-4.1,103.6,-107.7,1.0,-3.3,-0.8,-4.3%,38.8%,-43.2%,0.66,-4.0%,-26.3,-2.9,0.94,-23.6,1.23,272
Cincinnati Reds,4.85,-40.8,-4.3,6317,-4.2,106.2,-110.4,0.99,0.1,-4.3,-4.2%,62.4%,-66.6%,0.99,-4.1%,9.4,0.6,0.95,17.5,1.29,261
Colorado Rockies,4.59,-122.7,-12.2,6203,-3.9,105.5,-109.5,1.01,-2.2,-1.6,-1.2%,12.2%,-13.4%,0.2,-4.2%,-35.7,-3.5,0.93,-39.4,1.17,257
Los Angeles Dodgers,5.12,3.7,0.0,6411,2.3,109.8,-107.5,0.98,4.6,-2.2,0.7%,82.2%,-81.5%,1.24,-2.2%,72.3,6.6,0.96,56.2,1.32,239
Miami Marlins,3.85,-152.9,-15.2,6162,-14.7,100.4,-115.2,1.05,-14.2,0.2,-4.5%,26.5%,-31.0%,0.48,-3.2%,-115.6,-11.7,0.93,-149.8,1.26,232
Milwaukee Brewers,4.56,-57.1,-5.8,6275,-1.6,103.4,-105.1,0.99,-2.4,0.7,-0.7%,61.2%,-61.9%,0.97,1.0%,-1.1,-0.4,0.95,-23.7,1.28,239
New York Mets,3.93,-52.9,-5.4,6010,-9.6,109.3,-118.8,1.13,-6.7,-1.7,-7.0%,78.9%,-85.9%,1.36,-1.8%,-65.7,-6.8,0.95,-54.8,1.59,264
Philadelphia Phillies,4.53,-34.9,-3.8,6269,1.8,108.0,-106.2,1.01,-0.1,1.8,-1.0%,79.2%,-80.2%,1.25,-0.7%,3.7,0.1,0.95,-1.6,1.25,239
Pittsburgh Pirates,3.76,-135.5,-13.6,6168,-10.1,99.9,-110.1,1.04,-13.4,3.6,-3.4%,14.5%,-17.9%,0.27,-7.4%,-118.4,-12.0,0.96,-146.4,1.2,254
San Diego Padres,4.5,21.2,1.9,6366,-4.3,103.1,-107.5,1.01,-1.2,-3.1,-2.0%,65.6%,-67.6%,1.07,-1.8%,5.1,0.2,0.96,-8.3,1.27,266
San Francisco Giants,4.96,55.6,5.3,6381,7.8,113.0,-105.2,0.98,6.6,1.4,6.5%,82.1%,-75.6%,1.18,1.5%,64.0,6.1,0.95,74.6,1.19,346
St. Louis Cardinals,4.36,-3.7,-0.6,6191,0.7,95.9,-95.2,0.9,1.9,-1.1,-1.5%,47.9%,-49.4%,0.76,-2.8%,-1.2,-0.3,0.94,6.8,0.9,214
Washington Nationals,4.47,62.1,5.7,6296,-1.9,109.9,-111.8,1.03,3.1,-5.0,-1.1%,31.6%,-32.7%,0.5,-2.4%,13.5,0.9,0.97,35.7,1.25,256
League Average,4.46,-43.0,-4.0,6251,-3.0,105.0,-109.0,1.01,-2.0,-1.0,-2%,52%,-53%,0.83,-1%,-14.0,-2.0,0.0,-21.0,0.0,258
,4.46,-641.8,-66.7,93768,-52.3,1576.9,-1629.3,1.01,-31.7,-20.2,-23.6%,775.6%,-799.3%,0.83,-15.3%,-212.4,-25.4,0.95,-312.4,1.24,3866
