Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.44,-88.8,-8.8,6503,-6.2,109.2,-115.4,1.03,-1.2,-4.8,-2.2%,16.4%,-18.6%,0.27,-7.5%,-19.7,-2.0,0.95,-10.1,1.35,232
Atlanta Braves,4.54,-19.2,-2.1,6486,-3.0,112.1,-115.1,1.06,0.5,-3.3,-1.5%,65.1%,-66.6%,1.02,-2.5%,12.5,0.9,0.96,6.7,1.33,202
Chicago Cubs,4.39,-98.7,-9.8,6410,-6.0,106.1,-112.1,1.0,-1.2,-4.8,-4.2%,61.7%,-65.9%,0.98,-3.7%,-32.3,-3.3,0.97,-16.3,1.24,239
Cincinnati Reds,4.15,-108.4,-10.7,6404,-7.1,101.9,-109.0,0.99,-3.8,-3.4,-3.6%,39.4%,-43.0%,0.65,-2.4%,-55.4,-5.6,0.95,-55.3,1.4,216
Colorado Rockies,4.96,-39.2,-4.0,6508,2.5,110.7,-108.2,0.98,7.7,-5.1,2.0%,89.0%,-87.0%,1.31,-2.9%,53.4,4.7,0.96,81.5,1.3,209
Florida Marlins,4.77,-24.2,-2.6,6530,7.2,116.5,-109.3,1.03,5.4,1.6,3.1%,69.6%,-66.5%,1.04,0.0%,48.8,4.4,0.98,60.0,1.4,239
Houston Astros,3.97,-80.1,-7.9,6255,-2.2,103.7,-105.9,1.0,-5.7,3.5,-0.2%,33.6%,-33.8%,0.53,1.7%,-66.1,-6.6,0.94,-60.7,1.26,227
Los Angeles Dodgers,4.81,43.6,4.0,6649,4.7,120.4,-115.7,1.06,6.5,-2.1,3.8%,64.7%,-60.9%,0.94,0.6%,70.0,6.7,0.99,76.5,1.43,229
Milwaukee Brewers,4.85,30.2,2.6,6496,8.2,113.2,-105.0,0.99,7.3,1.0,3.5%,59.9%,-56.4%,0.88,0.0%,75.2,6.9,0.98,79.3,1.05,212
New York Mets,4.14,-34.4,-3.5,6412,-4.1,104.6,-108.7,1.02,-2.2,-1.8,-1.2%,45.5%,-46.7%,0.74,-0.7%,-37.0,-3.8,0.97,-29.8,1.31,252
Philadelphia Phillies,5.06,22.3,1.9,6557,12.3,113.5,-101.1,0.93,10.0,3.2,8.8%,81.1%,-72.3%,1.11,1.9%,100.0,9.3,0.96,103.1,1.27,237
Pittsburgh Pirates,3.95,-103.0,-10.2,6263,-8.3,98.7,-107.0,0.99,-6.3,-2.0,-1.8%,24.5%,-26.3%,0.41,-2.3%,-73.5,-7.4,0.95,-71.4,1.22,221
San Diego Padres,3.94,-33.8,-3.5,6373,-1.4,105.8,-107.2,1.01,-4.9,3.5,-0.8%,25.1%,-25.9%,0.4,1.0%,-55.9,-6.0,0.97,-46.9,1.3,218
San Francisco Giants,4.06,-157.8,-15.5,6249,-6.7,98.6,-105.3,0.98,-8.8,1.9,-7.4%,78.6%,-86.0%,1.31,-0.4%,-66.6,-6.6,0.95,-102.6,1.36,208
St. Louis Cardinals,4.51,-15.7,-1.8,6361,3.0,107.7,-104.7,0.99,2.7,0.3,1.4%,76.2%,-74.9%,1.18,-0.3%,25.8,2.2,0.96,17.9,1.15,244
Washington Nationals,4.38,-27.0,-2.9,6469,-3.8,118.6,-122.4,1.12,0.2,-3.6,0.3%,11.3%,-11.1%,0.17,1.0%,-9.0,-1.1,0.98,9.8,1.51,233
League Average,4.43,-46.0,-5.0,6433,-1.0,109.0,-110.0,1.01,0.0,-1.0,0%,53%,-53%,0.81,-0%,-2.0,-0.0,0.0,3.0,0.0,226
,4.43,-734.1,-74.6,102925,-10.9,1741.4,-1752.3,1.01,6.2,-16.9,0.0%,841.8%,-841.9%,0.81,-6.3%,-29.8,-7.4,0.96,41.6,1.31,3618
