Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.48,-27.6,-2.7,2317,-2.3,36.5,-38.8,0.97,-1.8,-0.5,-1.8%,15.9%,-17.7%,0.73,-0.4%,-11.7,-1.3,0.94,-19.3,1.15,22
Atlanta Braves,5.8,49.6,4.6,2411,1.9,44.3,-42.4,1.01,5.2,-3.3,1.3%,22.4%,-21.1%,0.83,-1.6%,52.3,4.7,0.96,59.2,2.07,25
Chicago Cubs,4.42,-26.7,-2.6,2273,-2.9,34.5,-37.4,0.93,-1.5,-1.6,-0.6%,14.9%,-15.5%,0.64,-0.2%,-20.1,-2.0,0.94,-18.7,1.0,44
Cincinnati Reds,4.05,-44.4,-4.3,2191,-3.3,33.5,-36.8,0.93,-3.7,0.1,-2.4%,26.5%,-28.9%,1.21,0.2%,-40.4,-3.8,0.9,-49.0,1.38,57
Colorado Rockies,4.58,-62.2,-6.0,2349,-4.0,37.3,-41.3,0.99,-4.1,0.0,-2.5%,24.6%,-27.1%,1.08,0.5%,-33.9,-3.1,0.93,-51.7,1.6,43
Los Angeles Dodgers,5.82,55.1,5.2,2399,5.9,44.1,-38.2,0.95,6.6,-0.5,0.6%,13.2%,-12.6%,0.51,-1.8%,58.6,5.5,0.94,61.2,0.95,36
Miami Marlins,4.38,-30.1,-2.9,2260,-2.0,35.4,-37.4,0.97,-2.0,-0.1,-1.1%,28.7%,-29.8%,1.3,0.4%,-13.0,-1.3,0.95,-32.7,1.76,30
Milwaukee Brewers,4.12,-36.0,-3.5,2242,-5.3,35.8,-41.1,0.99,-5.0,-0.3,-6.3%,31.1%,-37.4%,1.49,-1.2%,-42.9,-4.1,0.92,-52.5,1.53,59
New York Mets,4.77,62.5,5.9,2333,-1.1,42.1,-43.2,1.04,3.1,-4.2,-0.6%,27.9%,-28.5%,1.14,-2.5%,7.3,0.6,0.98,38.0,1.54,33
Philadelphia Phillies,5.1,27.1,2.5,2303,2.5,42.1,-39.7,1.04,3.8,-1.4,1.9%,37.0%,-35.1%,1.52,-1.0%,31.2,2.9,0.96,35.8,1.52,40
Pittsburgh Pirates,3.65,-74.3,-7.2,2194,-7.5,37.0,-44.5,1.09,-6.6,-0.3,-2.6%,8.6%,-11.2%,0.46,-2.8%,-69.4,-6.8,0.91,-86.3,2.16,25
San Diego Padres,5.42,55.8,5.2,2325,5.3,42.5,-37.2,0.96,3.8,1.7,3.0%,21.8%,-18.8%,0.81,1.7%,50.0,4.8,0.94,46.8,1.22,39
San Francisco Giants,4.98,42.3,3.9,2328,1.0,40.7,-39.7,0.96,1.2,-0.1,-0.4%,34.9%,-35.3%,1.41,-0.9%,16.7,1.4,0.97,22.3,1.49,60
St. Louis Cardinals,4.14,-12.4,-1.2,2071,-2.4,34.1,-36.5,1.01,-3.2,0.8,-1.8%,32.0%,-33.8%,1.57,0.7%,-14.3,-1.5,0.96,-40.7,1.5,29
Washington Nationals,4.88,22.3,2.0,2295,-3.6,35.7,-39.3,0.98,1.5,-5.2,-2.7%,13.4%,-16.1%,0.64,-4.3%,12.1,1.0,0.96,17.3,1.31,28
League Average,4.71,0.0,-0.0,2286,-1.0,38.0,-40.0,0.99,-0.0,-1.0,-1%,24%,-25%,1.02,-1%,-1.0,-0.0,0.0,-5.0,0.0,38
,4.71,1.1,-1.3,34291,-17.8,575.7,-593.5,0.99,-2.6,-15.3,-16.0%,353.0%,-369.0%,1.02,-12.1%,-17.5,-3.1,0.94,-70.4,1.46,570
