Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Chris Sale,5,8,7,7,1,5,2,2.7,24,94,61,34,7,20,8,10,3,0,27.0,,,-0.394,1.04,-0.41%,1.81,-4.2
Blaine Boyer,1,1,0,0,1,0,0,3.42,5,13,9,7,0,2,2,2,1,0,,0.0,0.0,0.043,1.17,0.04%,2.03,0.6
"Matt Barnes, H (17)",1,0,0,0,0,2,0,3.53,3,11,7,3,1,3,1,0,0,0,,0.0,0.0,0.076,0.97,0.08%,1.67,0.6
"Addison Reed, H (5)",1,1,1,1,0,1,1,2.7,4,16,13,7,3,3,1,2,1,0,,0.0,0.0,0.008,1.59,0.01%,2.75,-0.4
"Craig Kimbrel, BS (4), W (3-0)",1,3,2,2,1,1,1,1.61,7,28,18,10,3,5,2,3,1,0,,0.0,0.0,-0.607,3.0,-0.63%,5.2,-1.4
Team Totals,9,13,10,10,3,9,4,10.0,43,162,108,61,14,33,14,17,6,0,27.0,0.0,0.0,-0.874,1.43,-0.91%,2.48,-5.0
