Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b4,0-2,1,123,"3,(1-1) FBX",RR,BOS,Troy O'Leary,Jose Mercedes,16%,61%,Single to CF (Line Drive to Short CF); Nixon Scores; Offerman Scores; Everett to 2B
b4,2-2,2,1-3,"2,(1-0) BX",R,BOS,Shea Hillenbrand,Jose Mercedes,11%,67%,Single to CF (Ground Ball thru Short CF); Everett Scores; O'Leary to 2B
b4,4-2,2,-23,"2,(0-1) CX",RR,BOS,Craig Grebeck,Jose Mercedes,11%,90%,Single to CF (Line Drive); Hillenbrand Scores; Daubach Scores
b4,3-2,2,12-,"4,(1-2) BFFX",R,BOS,Brian Daubach,Jose Mercedes,11%,78%,Double to RF (Line Drive to Deep RF); O'Leary Scores; Hillenbrand to 3B
t1,0-0,2,12-,"3,(1-1) CBX",R,BAL,Jay Gibbons,Tomo Ohka,-11%,40%,Double to LF (Line Drive to LF Line); Bordick Scores; Segui to 3B
