Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Jon Garland,6.0,5,1,1,1,3,0,4.37,24,104,61,41,7,13,9,10,4,0,60.0,,,0.2,1.22,0.28%,2.88,2.5
"Mike MacDougal, H (7)",1.2,0,0,0,0,0,0,1.14,5,16,9,8,0,1,4,0,0,0,,0.0,0.0,0.233,2.13,0.33%,5.01,1.0
"Matt Thornton, H (16)",0.1,0,0,0,0,1,0,3.38,1,4,3,2,1,0,0,0,0,0,,0.0,0.0,0.036,1.32,0.05%,3.1,0.1
"Bobby Jenks, BS (3)",1.0,1,1,1,2,0,0,3.36,6,27,12,8,0,4,1,3,1,0,,0.0,0.0,-0.273,4.32,-0.39%,10.15,-0.4
"Brandon McCarthy, L (3-6)",0.0,1,1,1,0,0,1,4.23,1,4,2,1,0,1,0,1,0,0,,0.0,0.0,-0.347,2.33,-0.49%,5.48,-1.0
Team Totals,9.0,7,3,3,3,4,1,3.0,37,155,87,60,8,19,14,14,5,0,60.0,0.0,0.0,-0.151,1.88,-0.21%,4.42,2.2
