Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t2,2-3,2,123,"6,(3-2) *BBBCC>X",RRRR,TEX,Hank Blalock,Derek Lowe,-30%,27%,Home Run (Fly Ball to Deep CF); Barajas Scores/unER; Nix Scores/unER; Young Scores/unER; Blalock Scores/unER
b2,5-6,2,1--,"6,(3-2) B1BFBC>X",RR,BOS,Manny Ramirez,Kenny Rogers,19%,61%,Home Run (Fly Ball to Deep CF); Garciaparra Scores
b2,3-6,2,1--,"2,(1-0) BX",RR,BOS,Mark Bellhorn,Kenny Rogers,16%,41%,Home Run (Fly Ball to Deep RF); Damon Scores
b1,0-0,0,1--,"3,(1-1) CB1X",R,BOS,Mark Bellhorn,Kenny Rogers,10%,69%,Double to LF (Ground Ball thru LF Line); Damon Scores
b1,1-0,0,-2-,"2,(0-1) CX",RR,BOS,Nomar Garciaparra,Kenny Rogers,10%,79%,Home Run (Fly Ball to Deep LF); Bellhorn Scores
