0,1,2
1.0,Carlos Beltrán,CF
2.0,Luis Alicea,2B
3.0,Mark Quinn,LF
4.0,Jermaine Dye,RF
5.0,Mike Sweeney,1B
6.0,Dee Brown,DH
7.0,Joe Randa,3B
8.0,Héctor Ortiz,C
9.0,Luis Ordaz,SS
,Brian Meadows,P
