Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Mark Johnson,5.0,5,5,4,1,2,0,5.29,22,72,43,24,4,15,7,12,5,0,40.0,,,-0.136,1.05,-0.03%,0.38,-1.6
"Jim Poole, BS (1)",0.1,1,1,1,0,0,1,6.14,2,9,7,6,0,1,1,1,0,0,,1.0,1.0,-0.182,1.41,-0.04%,0.51,-1.1
Matt Anderson,0.2,0,0,0,1,0,0,5.25,3,13,5,3,1,1,2,0,0,0,,0.0,0.0,0.032,0.83,0.01%,0.3,0.3
Doug Brocail,3.0,2,0,0,1,2,0,2.7,12,48,32,19,3,10,4,5,2,0,,0.0,0.0,0.377,2.06,0.08%,0.74,1.8
"Willie Blair, W (1-0)",2.0,1,0,0,0,0,0,4.91,6,16,11,6,3,2,4,2,1,0,,0.0,0.0,0.32,2.17,0.07%,0.78,1.2
"Todd Jones, S (5)",1.0,1,0,0,0,1,0,7.0,3,7,5,2,0,3,1,1,1,0,,0.0,0.0,0.239,3.9,0.05%,1.41,0.6
Team Totals,12.0,10,6,5,3,5,1,3.75,48,165,103,60,11,32,19,21,9,0,40.0,1.0,1.0,0.65,1.61,0.14%,0.58,1.4
