Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Tanyon Sturtze, L (2-1)",4.2,6,7,4,5,2,0,5.09,27,117,64,43,5,16,8,10,0,0,27.0,,,-0.215,0.91,-0.10%,0.67,-2.6
Doug Creek,0.0,0,0,0,1,0,0,7.2,2,9,4,4,0,0,1,0,0,0,,2.0,2.0,-0.084,0.52,-0.04%,0.39,-2.1
Jeff Tam,1.1,1,0,0,1,1,0,5.59,6,28,17,14,1,2,2,2,0,0,,2.0,0.0,0.017,0.24,0.01%,0.18,1.1
Cliff Politte,1.0,1,0,0,0,0,0,4.7,4,21,14,12,2,0,1,3,0,0,,0.0,0.0,0.004,0.07,0.00%,0.05,0.6
Kelvim Escobar,1.0,0,0,0,0,1,0,18.0,3,14,7,4,0,3,1,1,0,0,,0.0,0.0,0.002,0.02,0.00%,0.01,0.6
Team Totals,8.0,8,7,4,7,4,0,4.5,42,189,106,77,8,21,13,16,0,0,27.0,4.0,2.0,-0.276,0.65,-0.12%,0.48,-2.4
