Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Barry Zito, W (4-2)",8,5,0,0,0,6,0,3.69,28,114,75,37,9,29,12,10,5,0,78.0,,,0.368,0.7,0.15%,0.49,4.5
Billy Koch,1,2,0,0,0,0,0,4.34,4,17,13,8,2,3,1,3,2,0,,0.0,0.0,0.009,0.39,0.00%,0.27,0.6
Team Totals,9,7,0,0,0,6,0,0.0,32,131,88,45,11,32,13,13,7,0,78.0,0.0,0.0,0.377,0.67,0.16%,0.47,5.0
