Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t9,3-3,2,1-3,"4,(2-1) BFBX",R,TOR,Corey Koskie,Keith Foulke,32%,82%,Single to RF (Line Drive); Zaun Scores; Hillenbrand to 2B
t8,1-3,0,1--,"2,(0-1) FX",RR,TOR,Vernon Wells,Alan Embree,29%,50%,Home Run (Fly Ball to Deep CF); Koskie Scores
b7,1-1,1,1--,"6,(2-2) FBSFBX",RR,BOS,David Ortiz,Roy Halladay,-28%,13%,Home Run (Fly Ball to Deep RF); Ramirez Scores
b9,3-4,2,1-3,"3,(0-2) SFX",O,BOS,Ramón Vázquez,Miguel Batista,21%,100%,Flyball: CF
t8,3-3,0,1--,"4,(2-1) 1BCBX",OO,TOR,Alex Rios,Alan Embree,-15%,41%,Ground Ball Double Play: 2B-SS-1B
