Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Johnny Damon CF,6.0,1.0,1.0,0.0,0.0,0.0,6.0,0.307,0.384,0.468,0.853,19.0,15.0,-0.074,1.43,0.099,-0.173,-0.01%,0.22,-0.7,3.0,0.0,SB
Mark Bellhorn 2B,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.259,0.368,0.444,0.812,19.0,11.0,-0.212,1.2,0.0,-0.212,-0.02%,0.19,-2.2,1.0,1.0,
Pokey Reese 2B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.224,0.27,0.31,0.581,6.0,3.0,-0.051,1.96,0.0,-0.051,-0.01%,0.31,-0.2,3.0,1.0,
Manny Ramirez LF,4.0,1.0,2.0,1.0,2.0,1.0,6.0,0.308,0.399,0.612,1.011,20.0,10.0,0.217,1.35,0.271,-0.054,0.02%,0.21,1.1,3.0,0.0,2B
David Ortiz DH,4.0,1.0,2.0,2.0,1.0,0.0,5.0,0.298,0.374,0.604,0.978,16.0,8.0,0.366,1.68,0.399,-0.033,0.03%,0.26,1.8,,,HR
Dave Roberts PR-DH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.341,0.387,0.728,,,0.096,3.11,0.096,0.0,0.01%,0.49,0.2,,,SB
Doug Mirabelli PH-DH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.277,0.363,0.511,0.873,4.0,2.0,-0.072,2.44,0.0,-0.072,-0.01%,0.38,-0.3,,,
Trot Nixon RF,4.0,1.0,2.0,1.0,0.0,1.0,4.0,0.302,0.362,0.476,0.838,12.0,9.0,0.102,1.55,0.153,-0.051,0.01%,0.24,0.9,0.0,0.0,
Gabe Kapler RF,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.276,0.311,0.401,0.712,5.0,5.0,-0.05,2.4,0.013,-0.063,-0.01%,0.38,-0.5,0.0,0.0,
Kevin Millar 1B,4.0,1.0,2.0,0.0,0.0,1.0,4.0,0.299,0.381,0.479,0.861,11.0,10.0,-0.008,1.44,0.101,-0.108,-0.00%,0.23,0.0,6.0,1.0,2B
Doug Mientkiewicz 1B,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.241,0.329,0.353,0.683,9.0,3.0,-0.057,3.21,0.0,-0.057,-0.01%,0.51,0.1,4.0,3.0,
Jason Varitek C,4.0,0.0,1.0,0.0,2.0,0.0,6.0,0.295,0.391,0.476,0.867,22.0,11.0,-0.051,2.27,0.097,-0.148,-0.01%,0.35,0.4,12.0,1.0,IW
Orlando Cabrera SS,5.0,1.0,1.0,2.0,0.0,0.0,6.0,0.258,0.304,0.376,0.68,23.0,16.0,0.059,2.31,0.379,-0.32,0.01%,0.36,-0.7,0.0,2.0,"HR,HBP,GDP"
Bill Mueller 3B,3.0,1.0,2.0,1.0,1.0,0.0,5.0,0.288,0.367,0.456,0.823,20.0,11.0,-0.016,2.19,0.152,-0.169,-0.00%,0.34,0.6,1.0,1.0,"2B,SF"
,,,,,,,,,,,,,,,,,,,,,,,
Bronson Arroyo P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Mike Myers P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Scott Williamson P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Mike Timlin P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Keith Foulke P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ramiro Mendoza P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Alan Embree P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Curt Leskanic P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,44.0,7.0,13.0,7.0,7.0,6.0,53.0,0.295,0.396,0.5,0.896,186.0,114.0,0.249,1.85,1.76,-1.511,0.02%,0.29,0.5,36.0,13.0,
