Unnamed: 0,Unnamed: 1,1,2,3,4,5,6,7,8,9,10,11,12,13,R,H,E
via Sports Logos.net About logos,St. Louis Cardinals,0,0,1,1,0,0,0,1,0,2,0,0,3,8,14,2
via Sports Logos.net About logos,Boston Red Sox,0,0,0,0,0,0,0,0,3,2,0,0,2,7,13,1
WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3),WP: Esteban Yan (2-1) • LP: Ramiro Mendoza (1-3)
