Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b2,0-0,0,---,"4,(2-1) FBBX",R,BOS,David Ortiz,Ramon Ortiz,10%,65%,Home Run (Fly Ball to Deep RF)
b2,1-0,1,1-3,"3,(1-1) BFX",R,BOS,Jason Varitek,Ramon Ortiz,8%,78%,Single to CF (Ground Ball thru Deep SS); Millar Scores; Walker to 3B
b2,4-0,2,1--,"2,(1-0) *BX",RR,BOS,Nomar Garciaparra,Ramon Ortiz,8%,93%,Home Run (Fly Ball to Deep LF); Mueller Scores
b2,3-0,2,-2-,"3,(2-0) BBX",R,BOS,Bill Mueller,Ramon Ortiz,5%,85%,Single to CF (Ground Ball thru Deep SS-2B); Varitek Scores
b2,1-0,1,-2-,"7,(2-2) BFFBFFX",,BOS,Todd Walker,Ramon Ortiz,4%,71%,Single to LF (Line Drive to Deep SS-3B Hole); Millar to 3B
