0,1,2
1.0,Brian Roberts,2B
2.0,Deivi Cruz,SS
3.0,Luis Matos,CF
4.0,Jay Gibbons,RF
5.0,Tony Batista,3B
6.0,Jack Cust,DH
7.0,Jose Leon,1B
8.0,Larry Bigbie,LF
9.0,Robert Machado,C
,Jason Johnson,P
