Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Eric Milton, L (3-8)",5.2,11,9,9,2,3,0,7.97,30,99,67,47,5,15,11,14,2,0,12.0,,,-0.252,0.68,-0.03%,0.13,-4.2
Matt Belisle,2.1,5,1,1,0,1,1,4.6,12,36,25,15,3,7,2,9,1,0,,2.0,2.0,-0.024,0.02,-0.00%,0.0,-1.4
Team Totals,8.0,16,10,10,2,4,1,11.25,42,135,92,62,8,22,13,23,3,0,12.0,2.0,2.0,-0.276,0.5,-0.03%,0.1,-5.6
