Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t1,0-0,0,-23,"5,(2-2) BCCB.X",RR,OAK,Mark Kotsay,Matt Clement,9%,72%,Ground-rule Double (Line Drive); Ellis Scores; Kendall Scores
t1,2-0,0,1-3,"5,(3-1) BFBBX",R,OAK,Scott Hatteberg,Matt Clement,6%,83%,Single to RF (Ground Ball); Kotsay Scores; Chavez to 3B
t2,5-0,1,1--,"1,(0-0) X",RR,OAK,Eric Chavez,Matt Clement,6%,94%,Home Run (Fly Ball to Deep RF); Kotsay Scores
t1,0-0,0,1--,"4,(1-2) B>FFX",,OAK,Jason Kendall,Matt Clement,5%,59%,Single to LF (Line Drive); Ellis to 2B
t1,2-0,0,-2-,"1,(0-0) X",,OAK,Eric Chavez,Matt Clement,5%,77%,Single to RF (Fly Ball); Kotsay to 3B
