Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t9,4-6,0,1--,"1,(0-0) X",OO,TOR,Tony Fernandez,Derek Lowe,15%,99%,Ground Ball Double Play: 2B-1B
t8,4-6,0,1--,"1,(0-0) X",OO,TOR,Brad Fullmer,Rod Beck,13%,92%,Ground Ball Double Play: 1B-SS-P-2B
b4,3-1,2,-23,"3,(1-1) CBX",RR,BOS,Jose Offerman,Joey Hamilton,11%,90%,Single to CF (Line Drive); Daubach Scores; O'Leary Scores
b1,0-0,2,12-,"2,(1-0) BX",R,BOS,Dante Bichette,Joey Hamilton,9%,64%,Single to CF (Ground Ball thru Short CF); Nixon Scores; Ramirez to 2B
b1,1-0,2,12-,"1,(0-0) X",R,BOS,Brian Daubach,Joey Hamilton,9%,73%,Single to CF (Ground Ball thru Short CF); Ramirez Scores; Bichette to 3B
