0,1,2
1.0,Quilvio Veras,2B
2.0,Andruw Jones,CF
3.0,Chipper Jones,3B
4.0,Brian Jordan,RF
5.0,Andres Galarraga,1B
6.0,Wally Joyner,DH
7.0,Javy Lopez,C
8.0,Bobby Bonilla,LF
9.0,Walt Weiss,SS
,Terry Mulholland,P
