Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Kenny Lofton CF,3.0,0.0,2.0,0.0,1.0,0.0,4.0,0.303,0.388,0.418,0.806,13.0,8.0,0.029,0.37,0.043,-0.014,0.02%,0.47,1.2,5.0,0.0,"2B,SB"
Ray Durham 2B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.254,0.341,0.338,0.679,23.0,15.0,-0.089,0.49,0.0,-0.089,-0.07%,0.62,-1.6,2.0,4.0,GDP
Magglio Ordonez RF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.321,0.362,0.568,0.93,13.0,10.0,-0.023,0.24,0.0,-0.023,-0.02%,0.31,-1.4,2.0,0.0,
Paul Konerko 1B,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.337,0.366,0.514,0.88,15.0,8.0,-0.012,0.45,0.015,-0.027,-0.01%,0.57,-0.1,8.0,2.0,
Frank Thomas DH,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.267,0.381,0.522,0.902,10.0,7.0,-0.05,0.46,0.0,-0.05,-0.04%,0.58,-1.3,,,GDP
Jose Valentin 3B,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.262,0.312,0.504,0.815,11.0,7.0,-0.016,0.2,0.0,-0.016,-0.01%,0.25,-0.4,0.0,3.0,
Jeff Liefer LF,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.242,0.286,0.273,0.558,15.0,9.0,-0.03,0.4,0.001,-0.031,-0.02%,0.51,-0.4,2.0,0.0,
Mark Johnson C,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.224,0.325,0.299,0.623,13.0,8.0,-0.023,0.29,0.0,-0.023,-0.02%,0.37,-0.6,3.0,0.0,
Royce Clayton SS,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.194,0.235,0.388,0.623,8.0,7.0,-0.014,0.18,0.0,-0.014,-0.01%,0.23,-0.5,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Todd Ritchie P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Matt Ginter P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Kelly Wunsch P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,28.0,0.0,3.0,0.0,2.0,8.0,30.0,0.107,0.167,0.143,0.31,121.0,79.0,-0.228,0.35,0.059,-0.287,-0.17%,0.44,-5.0,24.0,9.0,
