Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Brian Rose facing 1-2-3"
t1,0-0,0,---,"3,(1-1) BSX",O,CHW,Ray Durham,Brian Rose,2%,52%,Groundout: 2B-1B
t1,0-0,1,---,"1,(0-0) X",O,CHW,Jose Valentin,Brian Rose,2%,54%,Flyball: LF
t1,0-0,2,---,"4,(1-2) CCBX",O,CHW,Frank Thomas,Brian Rose,1%,55%,Groundout: SS-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, White Sox' Tanyon Sturtze facing 1-2-3"
b1,0-0,0,---,"5,(2-2) CFBBX",,BOS,Jose Offerman,Tanyon Sturtze,3%,59%,Single to RF (Line Drive to CF-RF)
b1,0-0,0,1--,"2,(0-1) SX",,BOS,Trot Nixon,Tanyon Sturtze,5%,63%,Single to CF (Line Drive); Offerman to 2B
b1,0-0,0,12-,"2,(1-0) BX",,BOS,Brian Daubach,Tanyon Sturtze,6%,70%,Single to CF (Line Drive); Offerman to 3B; Nixon to 2B
b1,0-0,0,123,"6,(3-2) BBFBFX",RO,BOS,Nomar Garciaparra,Tanyon Sturtze,-1%,69%,Flyball: CF/Sacrifice Fly; Offerman Scores; Nixon to 3B
b1,1-0,1,1-3,"4,(2-1) BFBX",OO,BOS,Troy O'Leary,Tanyon Sturtze,-10%,59%,Ground Ball Double Play: 1B-SS
,,,,,,,,,"1 run, 3 hits, 0 errors, 1 LOB. White Sox 0, Red Sox 1.","1 run, 3 hits, 0 errors, 1 LOB. White Sox 0, Red Sox 1.","1 run, 3 hits, 0 errors, 1 LOB. White Sox 0, Red Sox 1."
"Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6","Top of the 2nd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 4-5-6"
t2,0-1,0,---,"2,(0-1) FX",O,CHW,Magglio Ordonez,Brian Rose,3%,62%,Groundout: 2B-1B
t2,0-1,1,---,"5,(2-2) BBCFC",O,CHW,Paul Konerko,Brian Rose,2%,64%,Strikeout Looking
t2,0-1,2,---,"5,(3-1) BBFBX",O,CHW,Chris Singleton,Brian Rose,1%,65%,Groundout: SS-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1."
"Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 6-7-8"
b2,1-0,0,---,"5,(2-2) BCBFS",O,BOS,Carl Everett,Tanyon Sturtze,-2%,63%,Strikeout Swinging
b2,1-0,1,---,"2,(0-1) CX",O,BOS,Jason Varitek,Tanyon Sturtze,-2%,61%,Flyball: CF
b2,1-0,2,---,"3,(0-2) CCX",O,BOS,Jeff Frye,Tanyon Sturtze,-1%,60%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1."
"Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9","Top of the 3rd, White Sox Batting, Behind 0-1, Red Sox' Brian Rose facing 7-8-9"
t3,0-1,0,---,"8,(3-2) BCBBCFFX",O,CHW,Carlos Lee,Brian Rose,3%,63%,Flyball: RF (Short RF)
t3,0-1,1,---,"5,(1-2) SSFBX",O,CHW,Greg Norton,Brian Rose,2%,65%,Foul Popfly: C (Behind Home)
t3,0-1,2,---,"1,(0-0) X",O,CHW,Mark Johnson,Brian Rose,1%,66%,Flyball: LF (Deep LF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. White Sox 0, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Ahead 1-0, White Sox' Tanyon Sturtze facing 9-1-2"
b3,1-0,0,---,"6,(3-2) BCBCBB",,BOS,Wilton Veras,Tanyon Sturtze,3%,69%,Walk
