Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t9,2-3,2,12-,"3,(0-2) SFX",O,CHW,Herbert Perry,Derek Lowe,15%,100%,Groundout: 3B unassisted/Forceout at 3B; Norton to 2B
t9,2-3,1,-2-,"3,(1-1) BFX",O,CHW,Carlos Lee,Derek Lowe,12%,88%,Groundout: 3B-1B
t7,2-3,2,-23,"4,(1-2) CFBS",O,CHW,Greg Norton,Tim Wakefield,12%,77%,Strikeout Swinging
t9,2-3,0,---,"6,(3-2) FBBCBX",,CHW,Paul Konerko,Derek Lowe,-11%,70%,Single to LF (Line Drive to LF Line)
t8,2-3,2,12-,"3,(1-1) BFX",O,CHW,Magglio Ordonez,Derek Lowe,11%,85%,Groundout: SS unassisted/Forceout at 2B; Valentin to 3B
