Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b6,1-4,1,12-,"5,(2-2) .FBFBX",OO,BOS,J.T. Snow,Scott Proctor,11%,88%,Ground Ball Double Play: 2B-SS-1B
b8,5-7,2,1-3,"3,(1-1) CBX",O,BOS,Trot Nixon,Mariano Rivera,10%,91%,Foul Popfly: 3B (3B into Foul Terr.)
t3,1-0,1,-23,"1,(0-0) X",RR,NYY,Derek Jeter,Tim Wakefield,10%,78%,Single to CF (Ground Ball); Phillips Scores; Damon Scores
t7,4-1,2,-23,"3,(2-0) B.BX",RRR,NYY,Alex Rodriguez,Tim Wakefield,9%,98%,Home Run (Fly Ball to LF-CF); Jeter Scores; Sheffield Scores
b8,4-7,2,12-,"2,(1-0) BX",R,BOS,Manny Ramirez,Mariano Rivera,-9%,81%,Single to LF (Line Drive); Youkilis Scores; Loretta to 3B
