Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Tanyon Sturtze,6.1,5,4,4,6,3,0,5.11,29,101,54,33,6,15,9,11,4,0,44.0,,,0.078,0.96,0.00%,0.0,1.2
"Travis Phelps, BS (1)",0.2,1,1,1,0,0,1,4.07,3,11,7,3,2,2,0,3,0,0,,3.0,3.0,-0.316,1.7,0.00%,0.0,-2.4
"Victor Zambrano, BS (1), L (0-1)",1.0,2,2,2,3,3,0,9.82,8,37,18,7,5,6,0,2,2,0,,0.0,0.0,-0.502,2.87,0.00%,0.0,-1.4
Team Totals,8.0,8,7,7,9,6,1,7.88,40,149,79,43,13,23,9,16,6,0,44.0,3.0,3.0,-0.74,1.42,0.00%,0.0,-2.6
