Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Josh Beckett facing 1-2-3"
t1,0-0,0,---,"7,(2-2) FBCFFBS",O,SEA,Ichiro Suzuki,Josh Beckett,2%,52%,Strikeout Swinging
t1,0-0,1,---,"2,(1-0) BX",O,SEA,Adrián Beltré,Josh Beckett,2%,54%,Popfly: SS (Weak SS)
t1,0-0,2,---,"7,(3-2) FCBFBBX",O,SEA,Jose Vidro,Josh Beckett,1%,55%,Groundout: 1B-P (2B-1B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Mariners' Jeff Weaver facing 1-2-3"
b1,0-0,0,---,"4,(3-0) BBBB",,BOS,Julio Lugo,Jeff Weaver,3%,58%,Walk
b1,0-0,0,1--,"6,(3-2) BBC11B>F1>X",,BOS,Kevin Youkilis,Jeff Weaver,5%,64%,Single to RF (Ground Ball thru 2B-1B); Lugo to 2B
b1,0-0,0,12-,"5,(3-1) *BBBCX",,BOS,David Ortiz,Jeff Weaver,6%,70%,Single to RF (Line Drive to Short RF); Lugo to 3B; Youkilis to 2B
b1,0-0,0,123,"5,(3-1) BFBBX",R,BOS,Manny Ramirez,Jeff Weaver,7%,77%,Single to CF (Line Drive); Lugo Scores; Youkilis to 3B; Ortiz to 2B
b1,1-0,0,123,"8,(3-2) BBFFFBFX",RO,BOS,J.D. Drew,Jeff Weaver,0%,77%,Flyball: CF/Sacrifice Fly (Deep CF); Youkilis Scores; Ortiz to 3B
b1,2-0,1,1-3,"3,(1-1) CBX",O,BOS,Mike Lowell,Jeff Weaver,-5%,72%,Popfly: 1B-SS/Forceout at 2B
b1,2-0,2,1-3,"6,(3-2) BBCBF>B",,BOS,Jason Varitek,Jeff Weaver,2%,74%,Walk; Lowell to 2B
b1,2-0,2,123,"6,(3-2) BBBCF>X",RR,BOS,Coco Crisp,Jeff Weaver,12%,85%,Ground-rule Double/Fan Interference; Ortiz Scores; Lowell Scores; Varitek to 3B
b1,4-0,2,-23,"4,(1-2) CBCX",O,BOS,Dustin Pedroia,Jeff Weaver,-3%,83%,Flyball: LF (Deep LF-CF)
,,,,,,,,,"4 runs, 4 hits, 0 errors, 2 LOB. Mariners 0, Red Sox 4.","4 runs, 4 hits, 0 errors, 2 LOB. Mariners 0, Red Sox 4.","4 runs, 4 hits, 0 errors, 2 LOB. Mariners 0, Red Sox 4."
"Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6","Top of the 2nd, Mariners Batting, Behind 0-4, Red Sox' Josh Beckett facing 4-5-6"
t2,0-4,0,---,"5,(3-1) BCBBX",O,SEA,Raul Ibanez,Josh Beckett,2%,84%,Groundout: P unassisted (Weak 1B)
t2,0-4,1,---,"4,(1-2) FSBS",O,SEA,Richie Sexson,Josh Beckett,1%,86%,Strikeout Swinging
t2,0-4,2,---,"2,(0-1) CX",O,SEA,Jose Guillen,Josh Beckett,1%,86%,Groundout: SS-1B (Weak SS)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 4.","0 runs, 0 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 4.","0 runs, 0 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 4."
"Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3","Bottom of the 2nd, Red Sox Batting, Ahead 4-0, Mariners' Jeff Weaver facing 1-2-3"
b2,4-0,0,---,"6,(3-2) BCBBCX",,BOS,Julio Lugo,Jeff Weaver,2%,89%,Double to LF (Ground Ball)
b2,4-0,0,-2-,"2,(0-1) TX",R,BOS,Kevin Youkilis,Jeff Weaver,4%,93%,Double to LF (Line Drive to Deep LF Line); Lugo Scores
b2,5-0,0,-2-,"7,(2-2) CFBBFFS",O,BOS,David Ortiz,Jeff Weaver,-1%,91%,Strikeout Swinging
b2,5-0,1,-2-,"5,(2-2) CBCBX",O,BOS,Manny Ramirez,Jeff Weaver,-1%,90%,Flyball: LF (Short LF Line)
b2,5-0,2,-2-,"1,(0-0) X",RR,BOS,J.D. Drew,Jeff Weaver,5%,95%,Home Run (Fly Ball to Deep CF); Youkilis Scores
b2,7-0,2,---,"2,(0-1) CX",O,BOS,Mike Lowell,Jeff Weaver,0%,95%,Flyball: CF (Deep LF-CF)
,,,,,,,,,"3 runs, 3 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 7.","3 runs, 3 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 7.","3 runs, 3 hits, 0 errors, 0 LOB. Mariners 0, Red Sox 7."
"Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9","Top of the 3rd, Mariners Batting, Behind 0-7, Red Sox' Josh Beckett facing 7-8-9"
t3,0-7,0,---,"3,(1-1) BFX",,SEA,Kenji Johjima,Josh Beckett,-1%,94%,Single to LF (Line Drive to Deep LF)
t3,0-7,0,1--,"3,(0-2) CFX",,SEA,Yuniesky Betancourt,Josh Beckett,-4%,90%,Double to RF (Line Drive to RF Line); Johjima to 3B
t3,0-7,0,-23,"2,(1-0) BX",RO,SEA,Jose Lopez,Josh Beckett,1%,91%,Groundout: 2B-1B; Johjima Scores; Betancourt to 3B
t3,1-7,1,--3,"4,(0-2) CCFS",O,SEA,Ichiro Suzuki,Josh Beckett,2%,94%,Strikeout Swinging
t3,1-7,2,--3,"6,(2-2) *BBCSFX",O,SEA,Adrián Beltré,Josh Beckett,1%,95%,Flyball: CF (Deep LF-CF)
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Mariners 1, Red Sox 7.","1 run, 2 hits, 0 errors, 1 LOB. Mariners 1, Red Sox 7.","1 run, 2 hits, 0 errors, 1 LOB. Mariners 1, Red Sox 7."
"Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Ahead 7-1, Mariners' Jake Woods facing 7-8-9"
,,,,,,,,,Jake Woods replaces Jeff Weaver pitching,Jake Woods replaces Jeff Weaver pitching,Jake Woods replaces Jeff Weaver pitching
b3,7-1,0,---,"5,(3-1) .BBBCX",,BOS,Jason Varitek,Jake Woods,1%,96%,Single to LF (Fly Ball to LF-CF)
b3,7-1,0,1--,"4,(2-1) BSBX",O,BOS,Coco Crisp,Jake Woods,-1%,95%,Flyball: CF (Deep LF-CF)
b3,7-1,1,1--,"5,(3-1) BBFBB",,BOS,Dustin Pedroia,Jake Woods,1%,96%,Walk; Varitek to 2B
b3,7-1,1,12-,"4,(1-2) BCFX",R,BOS,Julio Lugo,Jake Woods,2%,98%,Single to LF (Ground Ball thru Weak 3B); Varitek Scores; Pedroia to 3B/Adv on E7 (throw); Lugo to 2B
b3,8-1,1,-23,"5,(1-2) SSFBX",O,BOS,Kevin Youkilis,Jake Woods,-1%,97%,Groundout: 3B-1B (Weak SS)
b3,8-1,2,-23,"3,(0-2) SFX",O,BOS,David Ortiz,Jake Woods,-1%,96%,Groundout: SS-1B (SS-2B)
,,,,,,,,,"1 run, 2 hits, 1 error, 2 LOB. Mariners 1, Red Sox 8.","1 run, 2 hits, 1 error, 2 LOB. Mariners 1, Red Sox 8.","1 run, 2 hits, 1 error, 2 LOB. Mariners 1, Red Sox 8."
"Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5","Top of the 4th, Mariners Batting, Behind 1-8, Red Sox' Josh Beckett facing 3-4-5"
t4,1-8,0,---,"5,(2-2) CBBFX",O,SEA,Jose Vidro,Josh Beckett,1%,97%,Groundout: SS-1B (Weak SS)
t4,1-8,1,---,"2,(0-1) CX",O,SEA,Raul Ibanez,Josh Beckett,0%,97%,Flyball: LF (LF-CF)
t4,1-8,2,---,"1,(0-0) X",O,SEA,Richie Sexson,Josh Beckett,0%,98%,Flyball: CF
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Mariners 1, Red Sox 8.","0 runs, 0 hits, 0 errors, 0 LOB. Mariners 1, Red Sox 8.","0 runs, 0 hits, 0 errors, 0 LOB. Mariners 1, Red Sox 8."
"Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6","Bottom of the 4th, Red Sox Batting, Ahead 8-1, Mariners' Jake Woods facing 4-5-6"
b4,8-1,0,---,"5,(3-1) BCBBB",,BOS,Manny Ramirez,Jake Woods,0%,98%,Walk
b4,8-1,0,1--,"5,(2-2) BFFBX",,BOS,J.D. Drew,Jake Woods,0%,98%,Reached on E6/attempted forceout (Ground Ball to Weak SS); Ramirez to 2B
b4,8-1,0,12-,"1,(0-0) X",R,BOS,Mike Lowell,Jake Woods,1%,99%,Double to LF (Line Drive to Deep LF Line); Ramirez Scores/unER; Drew to 3B
b4,9-1,0,-23,"2,(0-1) CX",RR,BOS,Jason Varitek,Jake Woods,0%,100%,Single to CF (Line Drive); Drew Scores; Lowell Scores
b4,11-1,0,1--,"5,(2-2) BFSBX",O,BOS,Coco Crisp,Jake Woods,0%,100%,Groundout: 3B-2B/Forceout at 2B (Weak 3B)
b4,11-1,1,1--,"2,(1-0) BX",O,BOS,Dustin Pedroia,Jake Woods,0%,99%,Popfly: SS (Deep SS-2B)
b4,11-1,2,1--,"4,(3-0) BBBB",,BOS,Julio Lugo,Jake Woods,0%,100%,Walk; Crisp to 2B
b4,11-1,2,12-,"6,(3-2) CB*BBF>X",O,BOS,Kevin Youkilis,Jake Woods,0%,99%,Flyball: RF
,,,,,,,,,"3 runs, 2 hits, 1 error, 2 LOB. Mariners 1, Red Sox 11.","3 runs, 2 hits, 1 error, 2 LOB. Mariners 1, Red Sox 11.","3 runs, 2 hits, 1 error, 2 LOB. Mariners 1, Red Sox 11."
