Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Joel Pineiro, L (13-9)",4.2,7,4,3,4,7,0,3.69,26,112,64,32,7,25,0,15,7,0,39.0,,,-0.215,0.76,-0.19%,1.12,-2.0
Julio Mateo,2.1,1,1,1,0,2,1,2.79,8,37,25,15,4,6,1,5,1,0,,3.0,0.0,-0.016,0.49,-0.01%,0.73,1.0
Shigetoshi Hasegawa,1.0,2,1,1,0,0,1,0.76,4,16,11,9,0,2,3,1,0,0,,0.0,0.0,-0.028,0.23,-0.03%,0.34,-0.4
Team Totals,8.0,10,6,5,4,9,2,5.62,38,165,100,56,11,33,4,21,8,0,39.0,3.0,0.0,-0.259,0.65,-0.23%,0.96,-1.4
