Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b1,3-0,2,123,"2,(0-1) SX",RRRR,BOS,Manny Alexander,Kevin Appier,14%,94%,Home Run (Fly Ball to Deep LF); Bichette Scores; Hatteberg Scores; Sadler Scores
b1,1-0,2,123,"3,(1-1) CBX",RR,BOS,Scott Hatteberg,Kevin Appier,13%,78%,Single to CF (Line Drive); Garciaparra Scores; O'Leary Scores; Bichette to 2B
b1,0-0,0,12-,"3,(1-1) BFX",OO,BOS,Carl Everett,Kevin Appier,-10%,54%,Ground Ball Double Play: SS-1B; Nixon to 3B
b1,0-0,2,--3,"2,(1-0) BX",R,BOS,Nomar Garciaparra,Kevin Appier,8%,61%,Single to LF (Line Drive to Deep LF); Nixon Scores
b1,0-0,0,1--,"5,(3-1) BBBCB",,BOS,Jose Offerman,Kevin Appier,5%,63%,Walk; Nixon to 2B
