Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Cliff Lee, W (4-0)",6,6,2,2,3,8,0,3.1,26,108,66,33,10,23,4,11,5,0,57.0,,,0.208,0.87,0.09%,0.6,1.6
David Riske,1,0,0,0,0,0,0,11.37,3,21,15,13,0,2,2,1,0,0,,0.0,0.0,0.044,0.84,0.02%,0.58,0.6
Rick White,1,0,0,0,0,0,0,3.72,3,8,5,3,1,1,0,3,0,0,,0.0,0.0,0.037,0.46,0.01%,0.32,0.6
Rafael Betancourt,1,3,2,2,0,3,0,4.08,6,22,17,8,5,4,1,2,0,0,,0.0,0.0,0.024,1.12,0.01%,0.77,-1.4
Team Totals,9,9,4,4,3,11,0,4.0,38,159,103,57,16,30,7,17,5,0,57.0,0.0,0.0,0.313,0.88,0.13%,0.61,1.4
