Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Shawn Hill, L (1-2)",5.2,12,8,8,2,2,1,4.26,31,110,67,45,2,20,13,14,9,0,13.0,,,-0.236,0.79,-0.05%,0.28,-3.0
Mike Stanton,0.1,3,1,1,1,0,0,5.28,5,18,9,5,1,3,2,2,1,0,,2.0,2.0,-0.027,0.08,-0.01%,0.03,-2.5
Saul Rivera,1.0,0,0,0,0,0,0,2.13,3,16,11,9,0,2,1,2,1,0,,0.0,0.0,0.001,0.02,0.00%,0.01,0.6
Gary Majewski,1.0,1,0,0,1,1,0,3.8,5,14,7,3,2,2,2,1,1,0,,0.0,0.0,0.0,0.01,0.00%,0.0,0.6
Team Totals,8.0,16,9,9,4,3,1,10.12,44,158,94,62,5,27,18,19,12,0,13.0,2.0,2.0,-0.262,0.57,-0.06%,0.2,-4.4
