Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Tom Glavine,5,5,2,2,3,0,1,3.34,22,102,64,40,2,22,11,8,3,0,46.0,,,0.017,1.22,0.01%,0.58,0.9
"Aaron Heilman, BS (4), L (0-3)",2,1,1,1,0,0,0,4.4,7,25,16,11,4,1,2,5,0,0,,2.0,1.0,-0.071,1.94,-0.02%,0.92,0.2
Duaner Sanchez,1,1,1,1,0,1,1,2.74,4,13,8,4,2,2,2,1,0,0,,0.0,0.0,-0.057,0.32,-0.02%,0.15,-0.4
Team Totals,8,7,4,4,3,1,2,4.5,33,140,88,55,8,25,15,14,3,0,46.0,2.0,1.0,-0.111,1.28,-0.03%,0.61,0.6
