Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Eric Milton, L (12-9)",3.1,8,7,6,1,4,2,4.93,19,72,48,29,6,13,4,10,4,0,21.0,,,-0.387,1.13,0.00%,0.0,-4.1
Jack Cressend,1.2,4,2,2,1,0,0,5.63,9,27,17,11,2,4,3,5,5,0,,2.0,2.0,-0.172,1.01,0.00%,0.0,-1.9
Travis Miller,2.0,3,1,0,0,3,0,4.24,9,29,23,12,5,6,4,2,2,0,,0.0,0.0,-0.019,0.31,0.00%,0.0,0.2
Eddie Guardado,1.0,1,1,1,0,0,1,3.66,4,14,10,7,0,3,2,2,0,0,,0.0,0.0,-0.007,0.04,0.00%,0.0,-0.4
Team Totals,8.0,16,11,9,2,7,3,10.12,41,142,98,59,13,26,13,19,11,0,21.0,2.0,2.0,-0.585,0.82,0.00%,0.0,-6.1
