Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"David Wells, W (6-1)",6.2,9,1,1,1,4,0,3.07,30,102,66,42,8,16,11,14,8,0,55.0,,,0.214,0.69,0.20%,1.09,2.5
"Antonio Osuna, H (3)",1.0,2,1,1,0,0,0,2.2,5,16,9,8,1,0,1,4,0,0,,2.0,0.0,0.032,0.52,0.03%,0.81,-0.3
Chris Hammond,0.2,1,1,1,0,1,0,3.78,3,13,9,4,1,4,0,2,1,0,,1.0,0.0,0.008,0.35,0.01%,0.55,-0.0
Jason Anderson,0.2,0,0,0,0,0,0,6.48,2,5,2,2,0,0,0,2,0,0,,1.0,1.0,0.01,0.17,0.01%,0.28,-0.0
Team Totals,9.0,12,3,3,1,5,0,3.0,40,136,86,56,10,20,12,22,9,0,55.0,4.0,1.0,0.264,0.62,0.25%,0.98,2.2
