Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b6,3-4,1,1-3,"3,(1-1) CBX",RRR,BOS,John Olerud,Doug Waechter,31%,82%,Home Run (Fly Ball to Deep RF); Nixon Scores; Varitek Scores
t4,2-2,1,1--,"1,(0-0) X",RR,TBD,Travis Lee,Bronson Arroyo,-20%,30%,Home Run (Fly Ball to CF-RF); Huff Scores
b2,0-2,1,1--,"5,(2-2) BCCBX",RR,BOS,John Olerud,Doug Waechter,18%,53%,Home Run (Fly Ball to Deep RF); Millar Scores
t2,0-0,0,-2-,"1,(0-0) X",RR,TBD,Jonny Gomes,Bronson Arroyo,-13%,31%,Home Run (Fly Ball to Deep LF); Huff Scores
b6,3-4,0,1--,"1,(0-0) X",,BOS,Jason Varitek,Doug Waechter,9%,56%,Single to RF (Line Drive); Nixon to 2B
