Unnamed: 0,Unnamed: 1,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E
via Sports Logos.net About logos,Philadelphia Phillies,0,0,0,0,0,0,5,0,1,0,0,1,7,13,1
via Sports Logos.net About logos,Boston Red Sox,0,0,0,0,0,6,0,0,0,0,0,2,8,14,0
WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2),WP: Craig Hansen (1-0) • LP: Clay Condrey (1-2)
Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs
