Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 1-2-3"
t1,0-0,0,---,"5,(1-2) CCBFX",O,TBD,Jason Tyner,Frank Castillo,2%,52%,Groundout: P-1B
t1,0-0,1,---,"5,(1-2) BCCFX",O,TBD,Brent Abernathy,Frank Castillo,2%,54%,Lineout: SS
t1,0-0,2,---,"3,(1-1) BCX",O,TBD,Steve Cox,Frank Castillo,1%,55%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Devil Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Devil Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Devil Rays 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 1-2-3"
b1,0-0,0,---,"3,(0-2) CFX",O,BOS,James Lofton,Ryan Rupe,-2%,53%,Flyball: LF
b1,0-0,1,---,"3,(1-1) BFX",O,BOS,Jose Offerman,Ryan Rupe,-2%,51%,Groundout: SS-1B
b1,0-0,2,---,"4,(1-2) CBFX",O,BOS,Trot Nixon,Ryan Rupe,-1%,50%,Lineout: CF
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Devil Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Devil Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Devil Rays 0, Red Sox 0."
"Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6","Top of the 2nd, Devil Rays Batting, Tied 0-0, Red Sox' Frank Castillo facing 4-5-6"
t2,0-0,0,---,"2,(1-0) BX",O,TBD,Toby Hall,Frank Castillo,2%,52%,Groundout: SS-1B
t2,0-0,1,---,"2,(0-1) CX",O,TBD,Randy Winn,Frank Castillo,2%,54%,Groundout: 1B unassisted
t2,0-0,2,---,"3,(1-1) CBX",,TBD,Ben Grieve,Frank Castillo,-1%,53%,Single (Line Drive to LF-CF)
t2,0-0,2,1--,"3,(0-2) CFB",,TBD,Aubrey Huff,Frank Castillo,-1%,52%,Grieve Steals 2B
t2,0-0,2,-2-,"5,(2-2) CFBBX",O,TBD,Aubrey Huff,Frank Castillo,3%,55%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Devil Rays 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Devil Rays 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Devil Rays 0, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Devil Rays' Ryan Rupe facing 4-5-6"
b2,0-0,0,---,"2,(1-0) BF",,BOS,Manny Ramirez,Ryan Rupe,0%,55%,E2 on Foul Ball
b2,0-0,0,---,"4,(1-2) BFFS",O,BOS,Manny Ramirez,Ryan Rupe,-2%,53%,Strikeout Swinging
b2,0-0,1,---,"2,(1-0) BX",O,BOS,Troy O'Leary,Ryan Rupe,-2%,51%,Groundout: 1B unassisted
b2,0-0,2,---,"1,(0-0) X",R,BOS,Calvin Pickering,Ryan Rupe,11%,62%,Home Run (Fly Ball to Deep LF)
b2,1-0,2,---,"4,(2-1) BSBX",O,BOS,Chris Stynes,Ryan Rupe,-1%,61%,Groundout: 2B-1B
,,,,,,,,,"1 run, 1 hit, 1 error, 0 LOB. Devil Rays 0, Red Sox 1.","1 run, 1 hit, 1 error, 0 LOB. Devil Rays 0, Red Sox 1.","1 run, 1 hit, 1 error, 0 LOB. Devil Rays 0, Red Sox 1."
